Nodos	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
0	-	0,057375	0,053211	0,053766	0,053097	0,053609	0,053601	0,053575	0,052951	0,053525	0,053544	0,053587	0,053534	0,053574	0,053105	0,053474	0,05301	0,053542	0,053502	0,05329	0,056838	0,05366	0,053151	0,053567	0,053639	0,053596	0,053101	0,053604	0,056388	0,05533
1	-	-	0,049804	0,049756	0,050219	0,049787	0,050299	0,050238	0,050203	0,04979	0,05024	0,050206	0,050217	0,050197	0,050211	0,049778	0,05021	0,049776	0,05021	0,05019	0,05022	0,050213	0,050225	0,049792	0,050208	0,050207	0,050218	0,04984	0,050577	0,049784
2	-	-	-	0,04977	0,049753	0,050227	0,049756	0,050239	0,050222	0,050193	0,049757	0,050207	0,050215	0,050207	0,050171	0,050189	0,049764	0,050232	0,049756	0,050209	0,050191	0,05022	0,05028	0,050203	0,049772	0,050181	0,050193	0,050248	0,049772	0,0502
3	-	-	-	-	0,049776	0,049785	0,050247	0,049765	0,050193	0,050191	0,050228	0,049761	0,050237	0,050183	0,050199	0,050195	0,050198	0,049786	0,050231	0,049761	0,050216	0,050199	0,050199	0,050216	0,050189	0,04979	0,050221	0,050261	0,050248	0,04979
4	-	-	-	-	-	0,0498	0,049765	0,050209	0,049768	0,050213	0,050193	0,050406	0,049767	0,050201	0,050246	0,050358	0,050189	0,050228	0,049785	0,05037	0,049771	0,050238	0,050216	0,050219	0,05021	0,050201	0,049784	0,050216	0,050213	0,050215
5	-	-	-	-	-	-	0,049779	0,049755	0,050199	0,049761	0,050172	0,05018	0,050207	0,049761	0,050188	0,050184	0,050175	0,050193	0,050184	0,049778	0,050207	0,049829	0,050184	0,05021	0,050186	0,050207	0,050218	0,049831	0,050184	0,050191
6	-	-	-	-	-	-	-	0,049782	0,049772	0,050217	0,049773	0,050215	0,050205	0,050187	0,049808	0,050227	0,050221	0,050185	0,050242	0,050212	0,049793	0,05029	0,049774	0,050225	0,050199	0,050274	0,050233	0,050256	0,049797	0,050209
7	-	-	-	-	-	-	-	-	0,049785	0,049768	0,050241	0,049773	0,050245	0,050186	0,050231	0,049774	0,050218	0,050196	0,050196	0,050236	0,050249	0,049797	0,050206	0,049775	0,050231	0,050311	0,050253	0,050241	0,050303	0,049794
8	-	-	-	-	-	-	-	-	-	0,049787	0,049753	0,050938	0,049759	0,050213	0,050567	0,050216	0,049761	0,050268	0,050196	0,050354	0,050175	0,050193	0,049775	0,050179	0,050359	0,050205	0,050199	0,050191	0,050206	0,050243
9	-	-	-	-	-	-	-	-	-	-	0,049784	0,049772	0,050255	0,049777	0,050233	0,050219	0,05022	0,049776	0,050199	0,050194	0,050195	0,050259	0,050323	0,049797	0,050207	0,04978	0,050402	0,0503	0,050208	0,05021
10	-	-	-	-	-	-	-	-	-	-	-	0,049778	0,049803	0,05026	0,049781	0,050194	0,050186	0,050186	0,049787	0,050183	0,050246	0,0502	0,050248	0,050187	0,049778	0,050691	0,049762	0,050266	0,050208	0,050177
