Bytes	Tiempo(s)	Tiempo(microsegundos)
8	0,000011	11
4000008	0,001678	1678
8000008	0,00283	2830
12000008	0,004244	4244
16000008	0,005674	5674
20000008	0,007085	7085
24000008	0,008508	8508
28000008	0,009929	9929
32000008	0,011375	11375
36000008	0,012813	12813
40000008	0,01428	14280
44000008	0,015708	15708
48000008	0,017116	17116
52000008	0,018533	18533
56000008	0,01997	19970
60000008	0,021355	21355
64000008	0,022645	22645
68000008	0,024713	24713
72000008	0,026267	26267
76000008	0,02766	27660
80000008	0,02913	29130
84000008	0,03054	30540
88000008	0,031992	31992
92000008	0,033429	33429
96000008	0,03478	34780
100000008	0,036172	36172
104000008	0,037576	37576
108000008	0,039039	39039
112000008	0,040454	40454
116000008	0,041879	41879
120000008	0,043246	43246
124000008	0,044677	44677
128000008	0,04615	46150
132000008	0,047562	47562
136000008	0,049646	49646
140000008	0,051443	51443
144000008	0,052826	52826
148000008	0,054302	54302
152000008	0,055641	55641
156000008	0,057034	57034
160000008	0,05834	58340
164000008	0,059897	59897
168000008	0,061388	61388
172000008	0,062861	62861
176000008	0,064254	64254
180000008	0,065639	65639
184000008	0,067014	67014
188000008	0,068387	68387
192000008	0,069883	69883
196000008	0,071294	71294
200000008	0,072653	72653
204000008	0,074068	74068
208000008	0,075508	75508
212000008	0,07697	76970
216000008	0,078398	78398
220000008	0,079693	79693
224000008	0,081241	81241
228000008	0,082615	82615
232000008	0,08399	83990
236000008	0,085426	85426
240000008	0,086906	86906
244000008	0,088172	88172
248000008	0,089621	89621
252000008	0,091071	91071
256000008	0,092588	92588
260000008	0,093882	93882
264000008	0,095393	95393
268000008	0,096688	96688
272000008	0,09959	99590
276000008	0,101061	101061
280000008	0,102566	102566
284000008	0,103855	103855
288000008	0,105489	105489
292000008	0,106785	106785
296000008	0,108221	108221
300000008	0,109597	109597
304000008	0,111095	111095
308000008	0,112524	112524
312000008	0,113873	113873
316000008	0,115427	115427
320000008	0,11666	116660
324000008	0,118392	118392
328000008	0,119528	119528
332000008	0,121078	121078
336000008	0,122352	122352
340000008	0,123882	123882
344000008	0,125276	125276
348000008	0,126728	126728
352000008	0,128048	128048
356000008	0,129469	129469
360000008	0,130934	130934
364000008	0,132415	132415
368000008	0,133822	133822
372000008	0,135338	135338
376000008	0,13683	136830
380000008	0,138332	138332
384000008	0,139897	139897
388000008	0,141465	141465
392000008	0,142914	142914
396000008	0,144483	144483
