Acceso por fila			
N hilos	Bytes de matriz	Tiempo	Speedup
1	16	0,00002	1
2	16	0,000097	0,206185567
4	16	0,000092	0,217391304
8	16	0,000356	0,056179775
12	16	0,003146	0,006357279
1	1024	0,000004	1
2	1024	0,000004	1
4	1024	0,000275	0,014545455
8	1024	0,000071	0,056338028
12	1024	0,006156	0,000649773
1	1048576	0,001295	1
2	1048576	0,000747	1,733601071
4	1048576	0,00038	3,407894737
8	1048576	0,000284	4,559859155
12	1048576	0,005918	0,218823927
1	1073741824	0,831862	1
2	1073741824	0,427217	1,947165024
4	1073741824	0,236425	3,518502696
8	1073741824	0,139908	5,945778655
12	1073741824	0,120914	6,879782325
			
Acceso por columna			
N hilos	Bytes de matriz	Tiempo	
1	16	0,000006	1
2	16	0,000056	0,107142857
4	16	0,000204	0,029411765
8	16	0,000084	0,071428571
12	16	0,003803	0,001577702
1	1024	0,000004	1
2	1024	0,001857	0,002154012
4	1024	0,000144	0,027777778
8	1024	0,000086	0,046511628
12	1024	0,003425	0,001167883
1	1048576	0,001536	1
2	1048576	0,000797	1,927227102
4	1048576	0,000414	3,710144928
8	1048576	0,000296	5,189189189
12	1048576	0,003505	0,438231098
1	1073741824	0,838737	1
2	1073741824	0,462329	1,814156153
4	1073741824	0,255122	3,287591819
8	1073741824	0,148792	5,63697645
12	1073741824	0,112081	7,483311177
