static
N hilos;Chunk;Tiempo
1;1000;6.444677
1;10000;6.212629
1;100000;6.215325
1;1000000;6.215406
2;1000;3.911614
2;10000;3.869734
2;100000;3.869521
2;1000000;3.870542
4;1000;2.112175
4;10000;2.069712
4;100000;2.069701
4;1000000;2.069690
8;1000;1.106222
8;10000;1.130889
8;100000;1.118404
8;1000000;1.119204
12;1000;0.778317
12;10000;0.770142
12;100000;0.837083
12;1000000;0.846729

dinamic
N hilos;Chunk;Tiempo
1;1000;6.254533
1;10000;6.210692
1;100000;6.210960
1;1000000;6.210841
2;1000;3.127266
2;10000;3.105522
2;100000;3.124295
2;1000000;3.327899
4;1000;1.585714
4;10000;1.555110
4;100000;1.580116
4;1000000;1.940800
8;1000;0.813747
8;10000;0.779892
8;100000;0.815476
8;1000000;1.302456
12;1000;0.566797
12;10000;0.520776
12;100000;0.561385
12;1000000;0.861164

guided
N hilos;Chunk;Tiempo
1;1000;6.208998
1;10000;6.229528
1;100000;6.229782
1;1000000;6.130581
2;1000;3.128575
2;10000;3.110888
2;100000;3.120122
2;1000000;3.199117
4;1000;1.589657
4;10000;1.558324
4;100000;1.580273
4;1000000;1.789642
8;1000;0.815846
8;10000;0.780499
8;100000;0.824928
8;1000000;1.173568
12;1000;0.562774
12;10000;0.522198
12;100000;0.528641
12;1000000;0.856153
