N_unmapped	251	251	251
N_multimapping	79	79	79
N_noFeature	830	19037	19526
N_ambiguous	9142	27	21
YAL069W	0	0	0
YAL068W-A	0	0	0
YAL068C	0	0	0
YAL067W-A	0	0	0
YAL067C	0	0	0
YAL066W	0	0	0
YAL065C	0	0	0
YAL064W-B	3	1	2
YAL064C-A	0	0	0
YAL064W	0	0	0
YAL063C-A	0	0	0
YAL063C	17	6	11
YAL062W	622	317	305
YAL061W	557	298	259
YAL060W	696	352	344
YAL059C-A	0	44	64
YAL059W	38	79	67
YAL058W	84	47	58
YAL056C-A	0	9	12
YAL056W	311	159	152
YAL055W	33	24	22
YAL054C	6646	3371	3288
YAL053W	523	261	262
YAL051W	193	90	103
YAL049C	440	243	197
YAL048C	115	67	61
YAL047W-A	0	8	5
YAL047C	85	51	34
YAL046C	131	62	69
YAL045C	0	74	73
YAL044W-A	6	78	77
YAL044C	517	277	241
YAL043C	260	144	116
YAL042C-A	0	89	103
YAL042W	316	261	247
YAL041W	231	122	109
YAL040C	204	115	89
YAL039C	226	121	105
YAL038W	2263	3472	3565
YAL037C-B	0	2431	2341
YAL037C-A	2	0	2
YAL037W	45	24	21
YAL036C	232	140	92
YAL035W	1173	549	626
YAL034C-B	0	9	9
YAL034W-A	50	35	32
YAL034C	309	142	168
YAL033W	62	28	35
YAL032C	147	70	78
YAL031W-A	0	16	7
YAL031C	126	81	68
YAL030W	198	103	97
YAL029C	281	147	136
YAL028W	53	27	26
YAL027W	120	70	70
YAL026C-A	4	8	16
YAL026C	220	133	119
HRA1	0	15	17
YAL025C	286	158	128
YAL024C	135	68	67
YAL023C	609	294	315
YAL022C	156	85	71
YAL021C	308	143	165
YAL020C	30	58	42
YAL019W-A	0	30	40
YAL019W	240	120	120
YAL018C	14	8	6
YAL017W	519	282	267
YAL016C-B	3	19	14
YAL016C-A	0	61	52
YAL016W	697	428	382
YAL015C	167	92	75
YAL014C	136	73	63
YAL013W	249	142	107
YAL012W	558	269	289
YAL011W	150	68	82
YAL010C	129	73	56
YAL009W	147	78	69
YAL008W	294	147	147
YAL007C	183	86	97
tP(UGG)A	0	0	0
YAL005C	7576	5467	5594
YAL004W	0	1777	1708
YAL003W	1801	958	843
snR18	37	20	17
YAL002W	226	119	108
YAL001C	406	198	209
YAR002W	225	107	120
YAR002C-A	404	218	188
YAR003W	119	69	50
YAR007C	459	230	229
YAR008W	99	51	48
YAR009C	101	43	58
YAR010C	49	30	19
tA(UGC)A	0	0	0
YAR014C	406	209	197
YAR015W	558	278	288
YAR018C	89	58	39
YAR019C	90	51	46
YAR019W-A	0	5	2
YAR020C	35	14	21
YAR023C	34	16	18
tL(CAA)A	0	0	0
tS(AGA)A	1	0	1
YAR027W	259	126	133
YAR028W	14	7	7
YAR029W	2	2	1
YAR030C	0	3	1
YAR031W	42	18	27
YAR033W	48	20	28
YAR035W	698	364	345
YAR035C-A	1	4	8
YAR042W	300	144	156
YAR047C	0	0	0
YAR050W	14	6	8
YAR053W	0	0	0
YAR060C	17	10	7
YAR061W	3	1	2
YAR062W	6	4	2
YAR064W	4	2	2
YAR066W	58	25	33
YAR068W	50	24	26
YAR069C	2	0	2
YAR070C	1	1	0
YAR071W	71	33	38
YAR073W	6	4	2
YAR075W	0	0	0
