Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
batch1_1	alignments/batch1_1_Aligned.sortedByCoord.out.bam	44050.0	44120.0	125.0	31113.0	8385.0	0.0	1.38	31113.0	172.0	4325.0	4850.0
batch1_2	alignments/batch1_2_Aligned.sortedByCoord.out.bam	44050.0	44141.0	171.0	31148.0	8511.0	0.0	1.19	31148.0	166.0	4145.0	4488.0
batch2_1	alignments/batch2_1_Aligned.sortedByCoord.out.bam	59900.0	60008.0	204.0	42460.0	11524.0	0.0	1.46	42460.0	213.0	5607.0	6385.0
batch2_2	alignments/batch2_2_Aligned.sortedByCoord.out.bam	59900.0	60025.0	231.0	42574.0	11523.0	0.0	1.53	42574.0	192.0	5505.0	6218.0
batch3_1	alignments/batch3_1_Aligned.sortedByCoord.out.bam	46775.0	46850.0	143.0	33003.0	9174.0	0.0	1.46	33003.0	188.0	4342.0	5009.0
batch3_2	alignments/batch3_2_Aligned.sortedByCoord.out.bam	46775.0	46875.0	188.0	33201.0	9232.0	0.0	1.53	33201.0	164.0	4090.0	4600.0
quimiostato1_1	alignments/quimiostato1_1_Aligned.sortedByCoord.out.bam	38325.0	38417.0	174.0	29603.0	4610.0	0.0	1.4	29603.0	88.0	3942.0	4070.0
quimiostato1_2	alignments/quimiostato1_2_Aligned.sortedByCoord.out.bam	38324.0	38443.0	214.0	29626.0	4618.0	0.0	1.27	29626.0	75.0	3910.0	3989.0
quimiostato2_1	alignments/quimiostato2_1_Aligned.sortedByCoord.out.bam	47162.0	47246.0	158.0	35655.0	6541.0	0.0	1.16	35655.0	128.0	4764.0	5206.0
quimiostato2_2	alignments/quimiostato2_2_Aligned.sortedByCoord.out.bam	47161.0	47299.0	242.0	35769.0	6594.0	0.0	1.21	35769.0	99.0	4595.0	4833.0
quimiostato3_1	alignments/quimiostato3_1_Aligned.sortedByCoord.out.bam	56865.0	56995.0	249.0	42990.0	7829.0	0.0	1.2	42990.0	164.0	5763.0	6226.0
quimiostato3_2	alignments/quimiostato3_2_Aligned.sortedByCoord.out.bam	56862.0	57028.0	303.0	42957.0	7922.0	0.0	1.22	42957.0	132.0	5714.0	6017.0
