#Transcript position	Transcript coverage profile
0.0	3.3851359143155877
1.0	10.248795963108197
2.0	16.288226533467878
3.0	22.76252901776136
4.0	28.333328098540417
5.0	32.11865666698534
6.0	33.99521340284275
7.0	35.20591218399297
8.0	35.82670234306235
9.0	37.83930061538284
10.0	38.85436773858662
11.0	41.189590838497985
12.0	43.61651600080029
13.0	43.87708585879033
14.0	43.51526793909305
15.0	41.44376892819389
16.0	39.43914383128518
17.0	38.18254013970769
18.0	37.89550937182922
19.0	38.33771356481284
20.0	38.254684501131145
21.0	37.76968669544795
22.0	37.88864619016769
23.0	36.627930073872534
24.0	36.22364784520417
25.0	35.62160812545109
26.0	35.72988092353825
27.0	35.73764148868216
28.0	36.15160971551665
29.0	36.947082028506976
30.0	38.39889683233581
31.0	38.616137702918
32.0	39.79391399951922
33.0	39.878003260526235
34.0	39.97024927276392
35.0	39.63975897726212
36.0	38.89146430964779
37.0	37.512460826357156
38.0	36.0378099650274
39.0	34.65908722407329
40.0	35.64181075063791
41.0	36.14830676276692
42.0	36.0818479803303
43.0	36.18745299264826
44.0	36.56259723866673
45.0	36.96292616286566
46.0	37.58039099038789
47.0	38.248829160346155
48.0	38.78100010658835
49.0	39.19619817336881
50.0	40.197382026824755
51.0	40.44835947395224
52.0	39.836693679150734
53.0	39.62346350306607
54.0	39.30016925942053
55.0	39.55722991963923
56.0	41.21936397398656
57.0	42.047722102496216
58.0	41.86061561302519
59.0	42.42486594011775
60.0	42.54498281590914
61.0	41.73932619348324
62.0	41.75019564419494
63.0	42.751988553713765
64.0	42.9527897823853
65.0	42.59013747703205
66.0	41.70554738387667
67.0	41.463593691313285
68.0	39.549271084686374
69.0	38.695337765614404
70.0	37.40839066398069
71.0	38.15468214579033
72.0	38.676801056381635
73.0	38.66165551513907
74.0	38.670760172068114
75.0	37.549655557923714
76.0	36.82293531580521
77.0	36.07241738973364
78.0	35.44800711454431
79.0	36.06604398660663
80.0	35.623708317691595
81.0	34.21069011156876
82.0	33.819318670492656
83.0	33.576822114254156
84.0	32.46407874209455
85.0	31.372472748392312
86.0	30.54469474269277
87.0	29.683022185632392
88.0	27.865068684893107
89.0	26.16458447079065
90.0	24.11807387428499
91.0	21.843792439088297
92.0	18.641479017052145
93.0	14.368130915657781
94.0	10.585247251802056
95.0	6.95378340112266
96.0	3.3967481937295636
97.0	1.1134928632726608
98.0	0.32540005247533155
99.0	0.05099537232143009
