#Transcript position	Transcript coverage profile
0.0	4.121614099526479
1.0	12.243411697098947
2.0	20.141797314194825
3.0	27.830358425073584
4.0	34.16648062694216
5.0	38.88850174132644
6.0	41.557272866638606
7.0	43.443264594561484
8.0	44.64164633089693
9.0	47.15498632157118
10.0	48.45669382304541
11.0	50.90690578150037
12.0	53.457895613582075
13.0	53.99711785662565
14.0	52.90735908945213
15.0	50.35103582064786
16.0	48.363232783698756
17.0	46.06391141996639
18.0	46.04034754629507
19.0	46.40614800835447
20.0	46.40591936419671
21.0	45.883793505979355
22.0	45.801736059837985
23.0	45.12584490543214
24.0	45.22485335018376
25.0	44.197510586762824
26.0	43.82734869034465
27.0	43.29989643269799
28.0	44.001683365965484
29.0	44.728865190951936
30.0	45.89760698693742
31.0	46.51422311179073
32.0	48.333833804213114
33.0	48.90418707161794
34.0	49.400199798489226
35.0	49.0348770899137
36.0	48.157466219677715
37.0	45.91660611713599
38.0	43.59987002216776
39.0	42.04757602713618
40.0	42.97056796784692
41.0	43.07092355393635
42.0	42.8936525527894
43.0	42.70127915989821
44.0	42.83358343544768
45.0	43.551988449483034
46.0	44.635059108375145
47.0	45.30403244755859
48.0	46.41844419373404
49.0	46.64312765564416
50.0	47.44747237447254
51.0	47.439504770662346
52.0	47.21575501886124
53.0	48.4554997490677
54.0	47.686607127881594
55.0	47.012074176947195
56.0	48.62892523489556
57.0	49.404161434092885
58.0	49.336379756408824
59.0	50.5380297466422
60.0	50.01361053410521
61.0	49.46595137289241
62.0	49.31715945320904
63.0	49.6637027072562
64.0	49.18778889728959
65.0	48.68679273143189
66.0	47.42576622207233
67.0	48.1556457973678
68.0	46.72754756087623
69.0	45.478192188999756
70.0	44.37398279838974
71.0	45.33928031696661
72.0	45.562659102165895
73.0	45.10683146770358
74.0	45.15815270103874
75.0	44.41261464905261
76.0	44.46681313746045
77.0	44.306367985302764
78.0	44.37427051166712
79.0	45.54666829285227
80.0	45.60123223351413
81.0	43.827659130472135
82.0	43.006666352439815
83.0	41.51360928008216
84.0	39.71708099103408
85.0	38.46442568635528
86.0	36.915402093271375
87.0	35.44293836984831
88.0	33.51642960611973
89.0	30.21227478632555
90.0	27.85678640425097
91.0	25.148350574003732
92.0	21.468226427915354
93.0	16.5575008048937
94.0	12.60276527680086
95.0	8.434010208697009
96.0	4.390667155890499
97.0	1.4749164122845857
98.0	0.5427318617534835
99.0	0.036428774627664626
