#Transcript position	Transcript coverage profile
0.0	11.810623783948838
1.0	30.943942334016057
2.0	47.6268151209607
3.0	62.60905007344111
4.0	76.43728308806233
5.0	88.76936104148838
6.0	98.40931456109922
7.0	104.16867489207227
8.0	109.75465011523391
9.0	116.99441504601307
10.0	120.50010275194386
11.0	124.6376370269611
12.0	129.86531225707017
13.0	131.75556609006762
14.0	129.56433887155072
15.0	124.72424274959266
16.0	122.54403318922208
17.0	122.27855065795868
18.0	124.57230413319996
19.0	126.93332861309229
20.0	127.16059109486172
21.0	126.23132879709226
22.0	125.78049168647061
23.0	122.66718296162762
24.0	120.61530249220601
25.0	118.8651627884112
26.0	118.34365684794166
27.0	117.50334238639503
28.0	116.85986660506433
29.0	116.60188025322665
30.0	119.37927281494626
31.0	119.28192513597875
32.0	120.33003622755515
33.0	120.71819487781339
34.0	123.12668221874515
35.0	124.9175212672272
36.0	125.56584165948038
37.0	125.83070380882248
38.0	122.94395573150874
39.0	120.54491748429564
40.0	120.61525242714083
41.0	117.99438791701164
42.0	115.83387840935893
43.0	112.63668247224048
44.0	112.25201024028708
45.0	113.59969606142317
46.0	115.51343609799449
47.0	115.3255819411261
48.0	115.35358163501745
49.0	115.83266698805687
50.0	117.50404662864877
51.0	118.78291269880195
52.0	118.8421786911013
53.0	119.86193484751674
54.0	116.58571821101087
55.0	114.03949949630672
56.0	114.46041254390107
57.0	114.57994225122494
58.0	114.29355905893868
59.0	115.82839962236413
60.0	117.91661203664367
61.0	120.04019167076332
62.0	121.73666881332834
63.0	125.6574196838817
64.0	125.61298378270955
65.0	127.05337991665971
66.0	126.62160111376103
67.0	127.23988645844538
68.0	125.62294274343336
69.0	124.53073909555677
70.0	122.0057961381505
71.0	124.51058707794971
72.0	126.35817720957996
73.0	126.14435683468244
74.0	126.06520977609932
75.0	121.99879138759094
76.0	119.37600770226665
77.0	117.35260371053681
78.0	117.03439264908369
79.0	117.42625917346888
80.0	114.61156643958289
81.0	109.23715497703097
82.0	105.40183311543595
83.0	101.60336274661685
84.0	98.19346795114876
85.0	93.16181161588494
86.0	88.23495914373808
87.0	84.20874132241772
88.0	75.60683497964837
89.0	65.87832627690284
90.0	58.211906835943864
91.0	49.519571425638574
92.0	39.15659929170265
93.0	28.11496578142651
94.0	20.411459994052777
95.0	13.553615632350592
96.0	8.390523274261632
97.0	3.715108974513416
98.0	1.2534111862101942
99.0	0.1605664533654501
