Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
batch1	alignments/batch1Aligned.sortedByCoord.out.bam	87342.0	87466.0	220.0	61776.0	16769.0	0.0	1.35	61776.0	333.0	8368.0	9220.0
batch2	alignments/batch2Aligned.sortedByCoord.out.bam	119048.0	119246.0	362.0	84523.0	22921.0	0.0	1.51	84523.0	399.0	11041.0	12514.0
batch3	alignments/batch3Aligned.sortedByCoord.out.bam	92882.0	93052.0	288.0	65779.0	18291.0	0.0	1.42	65779.0	341.0	8353.0	9506.0
output_batch1	alignments_hisat2/output_batch1.bam	88033.0	88067.0	56.0	62291.0	16907.0	67.0	1.35	62291.0	330.0	8483.0	9363.0
output_batch2	alignments_hisat2/output_batch2.bam	119727.0	119751.0	38.0	85118.0	23068.0	73.0	1.52	85118.0	395.0	11132.0	12637.0
output_batch3	alignments_hisat2/output_batch3.bam	93478.0	93503.0	42.0	66262.0	18403.0	72.0	1.45	66262.0	340.0	8456.0	9630.0
output_quimiostato1	alignments_hisat2/output_quimiostato1.bam	76590.0	76616.0	42.0	59261.0	9234.0	60.0	1.21	59261.0	162.0	7917.0	8115.0
output_quimiostato2	alignments_hisat2/output_quimiostato2.bam	94252.0	94264.0	20.0	71476.0	13139.0	72.0	1.18	71476.0	215.0	9414.0	10086.0
output_quimiostato3	alignments_hisat2/output_quimiostato3.bam	113656.0	113688.0	54.0	86039.0	15751.0	74.0	1.23	86039.0	288.0	11556.0	12320.0
quimiostato1	alignments/quimiostato1Aligned.sortedByCoord.out.bam	76103.0	76283.0	338.0	58817.0	9199.0	0.0	1.23	58817.0	164.0	7765.0	7970.0
quimiostato2	alignments/quimiostato2Aligned.sortedByCoord.out.bam	93817.0	94005.0	346.0	71071.0	13078.0	0.0	1.2	71071.0	224.0	9286.0	9958.0
quimiostato3	alignments/quimiostato3Aligned.sortedByCoord.out.bam	113092.0	113376.0	504.0	85537.0	15663.0	0.0	1.24	85537.0	292.0	11380.0	12141.0
