#Transcript position	Transcript coverage profile
0.0	11.745258276295043
1.0	31.04955497027264
2.0	47.91183713531729
3.0	62.94084368334519
4.0	76.87144061571325
5.0	89.27153519307315
6.0	99.04736016306893
7.0	104.85961485406844
8.0	110.50992845822813
9.0	117.79412001922407
10.0	121.36804354586101
11.0	125.55083817255266
12.0	130.90524479382768
13.0	132.81517993418166
14.0	130.7021224955244
15.0	125.76974815082549
16.0	123.42935730264718
17.0	123.1355464429509
18.0	125.49726072664716
19.0	127.85172575854276
20.0	128.0019207102369
21.0	127.15017740232761
22.0	126.66011999629875
23.0	123.38916151538456
24.0	121.2950478120508
25.0	119.52155634236316
26.0	118.8377216731559
27.0	118.06760949718219
28.0	117.44829354404217
29.0	117.25724579647844
30.0	120.0653945913759
31.0	120.02776924186787
32.0	121.0880286360335
33.0	121.4761749991575
34.0	123.83105307399407
35.0	125.61735646608876
36.0	126.30774200304779
37.0	126.52157907853788
38.0	123.53274577014682
39.0	121.24274388688174
40.0	121.34720411804393
41.0	118.66202426800899
42.0	116.48211562035092
43.0	113.31456004914637
44.0	112.9887328849681
45.0	114.41851097313996
46.0	116.19996072607762
47.0	116.18216665255869
48.0	116.13739418195993
49.0	116.4980179678255
50.0	118.03135064896227
51.0	119.3707784692329
52.0	119.45676777357676
53.0	120.48641829562152
54.0	117.11334339085559
55.0	114.51638916609969
56.0	114.98580296057133
57.0	115.13026933459457
58.0	114.71763353747187
59.0	116.16741548780956
60.0	118.30438537461274
61.0	120.54580225864764
62.0	122.13434539048066
63.0	126.22437010498993
64.0	126.37772768817844
65.0	127.83349110729434
66.0	127.49603417366593
67.0	128.11796899641726
68.0	126.45655195034769
69.0	125.32179059212822
70.0	122.72217672100152
71.0	125.14028777335922
72.0	127.04724401081187
73.0	126.89594693777377
74.0	126.74398628820879
75.0	122.65935894325554
76.0	120.07232757694857
77.0	117.95312079345857
78.0	117.7921063155241
79.0	118.2993604686867
80.0	115.47258052435964
81.0	110.03990105037377
82.0	106.22130722326214
83.0	102.50042220929687
84.0	99.05458018984135
85.0	94.04473365988261
86.0	89.13532712246919
87.0	85.13446521178692
88.0	76.49765332012277
89.0	66.58202774574593
90.0	58.85258507787053
91.0	50.09320100606228
92.0	39.6618858554758
93.0	28.479678974907987
94.0	20.678127591682674
95.0	13.674580119568377
96.0	8.374636099748262
97.0	3.7395664028123003
98.0	1.2573620126850542
99.0	0.1605664533654501
