#Transcript position	Transcript coverage profile
0.0	8.768452214540954
1.0	23.35836609058867
2.0	35.53808691080612
3.0	46.61150719317845
4.0	56.71718641967406
5.0	65.48921385763005
6.0	72.26685454810989
7.0	76.04624660537435
8.0	79.93034151469409
9.0	85.4208056519721
10.0	88.0762953561752
11.0	91.5554322722736
12.0	95.37013235172432
13.0	96.14599780953382
14.0	94.43299580389318
15.0	90.95756838405474
16.0	88.29188684272295
17.0	87.09193258757863
18.0	88.87282745790078
19.0	90.42980093828083
20.0	90.10483492094046
21.0	88.97584162992713
22.0	88.67758112780588
23.0	86.7462474639719
24.0	86.01476845240022
25.0	85.37846262245876
26.0	85.17083376324268
27.0	84.90091056772503
28.0	85.00810256557577
29.0	84.88710862081108
30.0	86.6983182540925
31.0	85.6568534141323
32.0	86.30310886312137
33.0	87.15787083376682
34.0	88.70113264795917
35.0	90.88442359249638
36.0	91.51225421827591
37.0	91.22592998373818
38.0	88.97791314767565
39.0	87.43446172340558
40.0	88.3287383363961
41.0	87.11416311681914
42.0	85.65115109580148
43.0	83.08739177803916
44.0	82.37957992836935
45.0	82.79745408332641
46.0	83.62978900599477
47.0	83.4642710617491
48.0	83.78541422727979
49.0	84.05315264548476
50.0	86.26265803469482
51.0	86.86680704655642
52.0	87.23116609201813
53.0	87.89181307144605
54.0	85.67760809754724
55.0	83.78873630016349
56.0	83.82354430016214
57.0	84.07907331168808
58.0	84.15455034927605
59.0	85.3929630322797
60.0	87.798421396235
61.0	89.59181074650748
62.0	90.52477866667391
63.0	93.58383025565693
64.0	94.18126254688532
65.0	95.36714880807104
66.0	94.9807420413639
67.0	94.88537026139615
68.0	93.78731206045954
69.0	93.46293980798042
70.0	91.01971655533535
71.0	92.57850407158735
72.0	93.48259335654902
73.0	93.8039460795277
74.0	93.57461653695994
75.0	90.01038082696172
76.0	88.9166939016165
77.0	87.77625882673404
78.0	87.82749750734325
79.0	88.5230068531739
80.0	87.46464190190567
81.0	83.46621643106073
82.0	80.66547337383933
83.0	77.86852357820578
84.0	75.32220528170097
85.0	71.41186645750567
86.0	67.26698336405664
87.0	64.10972506839391
88.0	57.57850760108885
89.0	50.121944342155636
90.0	44.391159520935936
91.0	38.708539883757744
92.0	30.801611744821976
93.0	22.215188609199842
94.0	15.95149122247983
95.0	10.815786978038865
96.0	6.774152684694564
97.0	3.0645171277052468
98.0	0.959322699475655
99.0	0.11776644478369218
