#Transcript position	Transcript coverage profile
0.0	5.88787179450666
1.0	16.911888366156532
2.0	26.583774155265186
3.0	37.042189181506686
4.0	45.730187691888624
5.0	51.826977269967486
6.0	55.800389562733514
7.0	58.52624728226813
8.0	59.31984399714267
9.0	61.87518042530524
10.0	63.779770668630626
11.0	66.49340230795754
12.0	70.3504383835157
13.0	71.34818356669709
14.0	69.74986273329671
15.0	66.79020177711301
16.0	64.71878151997754
17.0	61.74656843624041
18.0	61.47001411553977
19.0	61.96923503136132
20.0	61.99460919761102
21.0	61.403356354158774
22.0	62.04150455958591
23.0	61.27382561230272
24.0	61.30032299937801
25.0	60.75681695277909
26.0	60.73115994515571
27.0	60.05401590523537
28.0	59.8807189157569
29.0	60.85956155982015
30.0	62.65405554134321
31.0	62.702707655435475
32.0	64.12341234107662
33.0	65.38281830271006
34.0	66.82354812484465
35.0	66.5769714778373
36.0	66.24201851056286
37.0	64.51530805217108
38.0	61.670343061393574
39.0	59.89690059898625
40.0	60.53069662744812
41.0	60.03905564334046
42.0	59.7251132378782
43.0	59.70896489290176
44.0	59.9000414145411
45.0	60.124540079395885
46.0	60.76146383178039
47.0	61.29100033390221
48.0	62.51417243640014
49.0	62.771529198759715
50.0	64.53410739061627
51.0	65.91028583201131
52.0	66.11814900792213
53.0	67.33234171722357
54.0	66.31173911455403
55.0	65.8298459293848
56.0	67.6027648255447
57.0	69.0526120374571
58.0	68.96132506648473
59.0	70.33512778800534
60.0	70.1247692934957
61.0	69.10355365212001
62.0	68.41594592506584
63.0	69.38504398481672
64.0	68.74648835537447
65.0	68.57347397966181
66.0	67.15157711056465
67.0	67.17113322340629
68.0	65.07150903476276
69.0	63.611302777856864
70.0	61.26366968851305
71.0	61.32791991447671
72.0	61.968916768090196
73.0	62.04081868301351
74.0	61.37786141258095
75.0	59.63410143710468
76.0	58.92571361685361
77.0	58.26262115092672
78.0	58.16080912787746
79.0	58.63190112913631
80.0	58.326660700301346
81.0	56.813173746133856
82.0	55.42682976241828
83.0	53.72698179678882
84.0	51.730584806647215
85.0	49.546360618165004
86.0	47.151579845627914
87.0	45.98269603921358
88.0	43.942598897067946
89.0	41.121764548753426
90.0	38.24210911090048
91.0	35.37082953277161
92.0	29.978518649880222
93.0	23.11626025549387
94.0	17.25167839895245
95.0	11.43761343283299
96.0	5.840345952643339
97.0	1.9030307363245518
98.0	0.5584221072128324
99.0	0.10748471339214725
