Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
batch1_1	44.95573212258797	43.0	97.12844494892168	100	10.0	44050.0
batch1_2	39.93189557321226	43.0	89.75968217934165	98	10.0	44050.0
batch2_1	48.278797996661105	43.0	96.41696160267112	100	10.0	59900.0
batch2_2	44.89315525876461	43.0	92.1828714524207	100	10.0	59900.0
batch3_1	46.928915018706576	43.0	97.23604489577765	100	10.0	46775.0
batch3_2	40.61785141635489	43.0	89.04371993586318	96	10.0	46775.0
quimiostato1_1	40.13307240704501	43.0	97.0444357469015	100	10.0	38325.0
quimiostato1_2	36.06262230919766	43.0	90.55128506196999	98	10.0	38325.0
quimiostato2_1	46.66256732114839	43.0	97.1757347016666	100	10.0	47162.0
quimiostato2_2	42.45579067893643	43.0	91.65713922225521	100	10.0	47162.0
quimiostato3_1	47.44218763738679	43.0	97.26598083179461	100	10.0	56865.0
quimiostato3_2	43.11087663765058	43.0	91.32253583047569	100	10.0	56865.0
