ID_REF	VALUE
1007_s_at	9.986508326
1053_at	8.055984007
117_at	6.458127804
121_at	7.793549525
1255_g_at	3.418952733
1294_at	7.610820948
1316_at	4.467415217
1320_at	4.587670958
1405_i_at	7.160744909
1431_at	3.493355908
1438_at	8.393009185
1487_at	7.9352476
1494_f_at	5.466102204
1552256_a_at	8.716832182
1552257_a_at	9.977064551
1552258_at	5.045272988
1552261_at	4.431928781
1552263_at	7.253489684
1552264_a_at	7.991168917
1552266_at	3.508548769
1552269_at	3.070453721
1552271_at	5.560610965
1552272_a_at	5.280464839
1552274_at	5.954281829
1552275_s_at	5.92661331
1552276_a_at	5.097579291
1552277_a_at	8.331017563
1552278_a_at	4.770869775
1552279_a_at	5.966043612
1552280_at	3.490499436
1552281_at	7.33554077
1552283_s_at	4.310038503
1552286_at	5.935819825
1552287_s_at	7.171262146
1552288_at	3.759754732
1552289_a_at	4.628567502
1552291_at	6.17305941
1552293_at	4.096058716
1552295_a_at	6.907928087
1552296_at	3.512174218
1552299_at	4.764595272
1552301_a_at	4.089713441
1552302_at	3.441076546
1552303_a_at	5.178501565
1552304_at	3.812306897
1552306_at	4.563003628
1552307_a_at	5.04999533
1552309_a_at	6.064193615
1552310_at	6.238526116
1552311_a_at	6.836685779
1552312_a_at	6.517402024
1552314_a_at	4.326021974
1552315_at	5.434075826
1552316_a_at	5.797394566
1552318_at	4.050798509
1552319_a_at	3.554652276
1552320_a_at	2.987380373
1552321_a_at	3.085863645
1552322_at	2.789621138
1552323_s_at	3.771026885
1552325_at	2.78941093
1552326_a_at	4.522179436
1552327_at	3.488193894
1552329_at	5.988079827
1552330_at	4.912056955
1552332_at	7.692206862
1552334_at	6.082988207
1552335_at	4.871268934
1552337_s_at	4.030449119
1552338_at	3.779434779
1552340_at	4.404916612
1552343_s_at	5.379048694
1552344_s_at	5.809488051
1552347_at	7.794812755
1552348_at	5.182461653
1552349_a_at	4.051835054
1552354_at	4.434714308
1552355_s_at	4.975125244
1552359_at	3.031358166
