id_gen	symbol	log2FC_GNCAt_vs_GNCAn	adj-p-value_GNCAt_vs_GNCAn	vias_reactome	BP	MF	CC
ENSG00000149577	SIDT2	-1.0670106527777534	1.3360171555691469e-37		cell morphogenesis, type B pancreatic cell development, response to glucose, regulation of insulin secretion involved in cellular response to glucose stimulus, RNA transport, RNA catabolic process, glucose homeostasis, type B pancreatic cell proliferation	double-stranded RNA binding, AP-2 adaptor complex binding, DNA binding, nucleic acid transmembrane transporter activity, RNA transmembrane transporter activity, AP-1 adaptor complex binding	lysosome, plasma membrane, lysosomal membrane
ENSG00000182492	BGN	1.6490506250000283	1.6589241675886338e-33	Defective B3GALT6 causes EDSP2 and SEMDJL1, Metabolism of carbohydrates, Diseases of glycosylation, Defective CHST3 causes SEDCJD, Defective CHSY1 causes TPBS, Heparan sulfate/heparin (HS-GAG) metabolism, Dermatan sulfate biosynthesis, Chondroitin sulfate biosynthesis, Defective B4GALT7 causes EDS, progeroid type, Glycosaminoglycan metabolism, Diseases associated with glycosaminoglycan metabolism, A tetrasaccharide linker sequence is required for GAG synthesis, Extracellular matrix organization, Diseases of metabolism, Disease, Defective B3GAT3 causes JDSSDHD, Metabolism, CS/DS degradation, Chondroitin sulfate/dermatan sulfate metabolism, Defective CHST14 causes EDS, musculocontractural type, ECM proteoglycans	articular cartilage development, biological_process, peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan, bone development	extracellular matrix structural constituent, extracellular matrix binding, cytokine binding, extracellular matrix structural constituent conferring compression resistance, glycosaminoglycan binding, protein binding	lysosomal lumen, collagen-containing extracellular matrix, Golgi lumen, extracellular exosome, extracellular region, cell surface, extracellular matrix, sarcolemma, transport vesicle, extracellular space
ENSG00000102934	PLLP	-0.778194208333316	3.6477103071840734e-31		myelination, monoatomic ion transport	structural constituent of myelin sheath, protein binding	membrane, compact myelin
ENSG00000157551	KCNJ15	-1.3392026666666403	3.975903780329496e-31	Neurotransmitter receptors and postsynaptic signal transmission, Inwardly rectifying K+ channels, GABA B receptor activation, Neuronal System, Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits, Activation of G protein gated Potassium channels, Potassium Channels, Transmission across Chemical Synapses, Activation of GABAB receptors, GABA receptor activation, G protein gated Potassium channels	regulation of monoatomic ion transmembrane transport, potassium ion transport, potassium ion import across plasma membrane	protein binding, inward rectifier potassium channel activity	plasma membrane
ENSG00000138385	SSB	0.9046464861111412	6.952983184703695e-30	RNA Polymerase III Transcription, RNA Polymerase III Abortive And Retractive Initiation, RNA Polymerase III Transcription Termination, Gene expression (Transcription)	tRNA 3'-end processing, tRNA 5'-leader removal, IRES-dependent viral translational initiation, protein localization to cytoplasmic stress granule, positive regulation of translation, histone mRNA metabolic process, nuclear histone mRNA catabolic process, tRNA export from nucleus, tRNA processing, tRNA modification	DNA binding, poly(U) RNA binding, sequence-specific mRNA binding, protein binding, mRNA binding, tRNA binding, RNA binding	cytosol, ribonucleoprotein complex, nucleus, chromosome, telomeric region, cytoplasmic stress granule, cytoplasm
ENSG00000114378	HYAL1	-1.203661680555535	2.7416664748884666e-29	Mucopolysaccharidoses, Diseases of carbohydrate metabolism, Metabolism, CS/DS degradation, Metabolism of carbohydrates, MPS IX - Natowicz syndrome, Chondroitin sulfate/dermatan sulfate metabolism, Glycosaminoglycan metabolism, Hyaluronan uptake and degradation, Diseases of metabolism, Disease, Hyaluronan metabolism	response to antibiotic, hyaluronan biosynthetic process, cellular response to fibroblast growth factor stimulus, chondroitin sulfate catabolic process, cellular response to pH, positive regulation of G1/S transition of mitotic cell cycle, positive regulation of angiogenesis, cellular response to platelet-derived growth factor stimulus, cellular response to tumor necrosis factor, positive regulation of growth, glycosaminoglycan catabolic process, positive regulation of epithelial cell migration, response to virus, positive regulation of cell growth, hyaluronan catabolic process, response to reactive oxygen species, cartilage development, cellular response to UV-B, embryonic skeletal joint morphogenesis, negative regulation of cell growth, hyaluronan metabolic process, positive regulation of epithelial cell proliferation, positive regulation of cell adhesion, inflammatory response, positive regulation of hyaluranon cable assembly, carbohydrate metabolic process, cellular response to interleukin-1	hyaluronan synthase activity, chondroitin hydrolase activity, hyalurononglucosaminidase activity, virus receptor activity	lysosome, lysosomal lumen, extracellular exosome, extracellular space, cytoplasmic vesicle, hyaluranon cable, cytoplasm
ENSG00000053918	KCNQ1	-1.040452423611094	4.75449326572158e-28	Cardiac conduction, Phase 2 - plateau phase, Voltage gated Potassium channels, Muscle contraction, Potassium Channels, Neuronal System, Phase 3 - rapid repolarisation	social behavior, cochlea development, regulation of membrane repolarization, potassium ion import across plasma membrane, cellular response to cAMP, gastrin-induced gastric acid secretion, potassium ion export across plasma membrane, membrane repolarization during action potential, cellular response to xenobiotic stimulus, stomach development, regulation of heart contraction, ventricular cardiac muscle cell action potential, renal sodium ion absorption, erythrocyte differentiation, potassium ion homeostasis, response to insulin, regulation of ventricular cardiac muscle cell membrane repolarization, cellular response to epinephrine stimulus, heart development, gene expression, positive regulation of heart rate, iodide transport, cardiac muscle contraction, inner ear morphogenesis, sensory perception of sound, detection of mechanical stimulus involved in sensory perception of sound, corticosterone secretion, membrane repolarization during atrial cardiac muscle cell action potential, regulation of atrial cardiac muscle cell membrane repolarization, negative regulation of gene expression, regulation of heart rate by cardiac conduction, regulation of voltage-gated sodium channel activity, intracellular chloride ion homeostasis, response to nicotine, adrenergic receptor signaling pathway, positive regulation of cardiac muscle contraction, intestinal absorption, positive regulation of potassium ion transmembrane transport, non-motile cilium assembly, potassium ion transmembrane transport, membrane repolarization during cardiac muscle cell action potential, regulation of gene expression by genomic imprinting, atrial cardiac muscle cell action potential, membrane repolarization during ventricular cardiac muscle cell action potential, glucose metabolic process, rhythmic behavior, regulation of blood pressure, inner ear development, auditory receptor cell development, renal absorption, regulation of gastric acid secretion	protein kinase A catalytic subunit binding, protein phosphatase 1 binding, calmodulin binding, voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization, voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization, phosphatidylinositol-4,5-bisphosphate binding, transmembrane transporter binding, scaffold protein binding, protein kinase A regulatory subunit binding, voltage-gated potassium channel activity, outward rectifier potassium channel activity, voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization, delayed rectifier potassium channel activity, protein binding	lysosome, late endosome, cytoplasmic vesicle membrane, ciliary base, neuronal cell body, voltage-gated potassium channel complex, neuron projection, monoatomic ion channel complex, endoplasmic reticulum, basolateral plasma membrane, basolateral part of cell, cell surface, plasma membrane, transport vesicle, membrane raft, early endosome, apical plasma membrane, cytoplasm
ENSG00000135047	CTSL	1.0205945277778028	1.6116481001134295e-27	Viral Infection Pathways, Immune System, Generic Transcription Pathway, RUNX1 regulates transcription of genes involved in differentiation of keratinocytes, Transcriptional regulation by RUNX1, SARS-CoV-1 Infection, Endosomal/Vacuolar pathway, Adaptive Immune System, Gene expression (Transcription), Early SARS-CoV-2 Infection Events, RNA Polymerase II Transcription, Class I MHC mediated antigen processing & presentation, SARS-CoV Infections, Innate Immune System, Degradation of the extracellular matrix, Extracellular matrix organization, Collagen degradation, Attachment and Entry, Assembly of collagen fibrils and other multimeric structures, Trafficking and processing of endosomal TLR, Disease, MHC class II antigen presentation, Toll-like Receptor Cascades, Infectious disease, SARS-CoV-2 Infection, Collagen formation, Antigen processing-Cross presentation	antigen processing and presentation, fusion of virus membrane with host plasma membrane, macrophage apoptotic process, elastin catabolic process, collagen catabolic process, proteolysis involved in protein catabolic process, zymogen activation, cellular response to thyroid hormone stimulus, antigen processing and presentation of exogenous peptide antigen via MHC class II, protein autoprocessing, positive regulation of apoptotic signaling pathway, proteolysis, fusion of virus membrane with host endosome membrane, viral entry into host cell, immune response, enkephalin processing, CD4-positive, alpha-beta T cell lineage commitment, positive regulation of peptidase activity, adaptive immune response, antigen processing and presentation of peptide antigen, receptor-mediated endocytosis of virus by host cell	fibronectin binding, histone binding, cysteine-type endopeptidase activator activity involved in apoptotic process, collagen binding, cysteine-type peptidase activity, protein binding, proteoglycan binding, serpin family protein binding, cysteine-type endopeptidase activity	lysosome, lysosomal lumen, collagen-containing extracellular matrix, extracellular exosome, nucleus, endolysosome lumen, extracellular region, endocytic vesicle lumen, chromaffin granule, intracellular membrane-bounded organelle, multivesicular body, plasma membrane, Golgi apparatus, apical plasma membrane, extracellular space
ENSG00000039560	RAI14	1.1622463055555825	9.443152823398564e-27		spermatogenesis, cell differentiation	actin binding, protein binding	cytosol, anchoring junction, nucleoplasm, cell cortex, fibrillar center, cytoskeleton
ENSG00000107937	GTPBP4	1.0236764583333589	3.966618981868484e-26		negative regulation of collagen binding, negative regulation of DNA replication, protein stabilization, negative regulation of cell population proliferation, negative regulation of cell migration, osteoblast differentiation, negative regulation of cell-cell adhesion, maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), ribosomal large subunit biogenesis, regulation of cyclin-dependent protein serine/threonine kinase activity, negative regulation of protein ubiquitination	GTP binding, GTPase activity, preribosome binding, protein binding, RNA binding	cytosol, nucleus, membrane, nucleoplasm, nucleolus, nuclear membrane, perinuclear region of cytoplasm, cytoplasm
