id_gen	symbol	log2FC_GCAt_vs_GCAn	adj-p-value_GCAt_vs_GCAn	log2FC_GNCAt_vs_GNCAn	adj-p-value_GNCAt_vs_GNCAn	vias_reactome	BP	MF	CC
ENSG00000114771	AADAC	-1.02914929967742	3.307588096709657e-11	-1.5772354722221973	1.0934450392092633e-18	Biological oxidations, Metabolism, Phase I - Functionalization of compounds	positive regulation of triglyceride catabolic process, lipid metabolic process, xenobiotic metabolic process	catalytic activity, deacetylase activity, triglyceride lipase activity, serine hydrolase activity, protein binding, lipase activity	endoplasmic reticulum membrane
ENSG00000141338	ABCA8	-1.077958394693547	5.004676143934495e-07	-0.6404364583333146	0.0012703885143766	ABC-family proteins mediated transport, Transport of small molecules	cholesterol transport, cholesterol efflux, regulation of cholesterol efflux, positive regulation of cholesterol efflux, lipid transport, xenobiotic transport, transmembrane transport, sphingomyelin biosynthetic process	ABC-type xenobiotic transporter activity, lipid transporter activity, ABC-type transporter activity, ATPase-coupled transmembrane transporter activity, ATP binding, ATP hydrolysis activity	intracellular membrane-bounded organelle, plasma membrane, endoplasmic reticulum, basolateral plasma membrane
ENSG00000075239	ACAT1	-1.055365365387097	1.3082286928750083e-20	-0.8154869027777512	7.291798692717032e-20	Utilization of Ketone Bodies, Metabolism, Synthesis of Ketone Bodies, Metabolism of amino acids and derivatives, Metabolism of lipids, Branched-chain amino acid catabolism, Ketone body metabolism	liver development, response to organic cyclic compound, coenzyme A biosynthetic process, acetyl-CoA biosynthetic process, acetyl-CoA catabolic process, ketone body metabolic process, ketone body catabolic process, metanephric proximal convoluted tubule development, response to hormone, coenzyme A metabolic process, adipose tissue development, fatty acid beta-oxidation, propionyl-CoA biosynthetic process, isoleucine catabolic process, response to starvation	acetyl-CoA C-acetyltransferase activity, enzyme binding, potassium ion binding, C-acetyltransferase activity, identical protein binding, coenzyme A binding, cholesterol O-acyltransferase activity	mitochondrial matrix, mitochondrion, extracellular exosome, endoplasmic reticulum
ENSG00000005187	ACSM3	-1.2907950934516077	8.476933336373324e-17	-1.3681564513888702	5.402539209412467e-22	Metabolism, mitochondrial fatty acid beta-oxidation of saturated fatty acids, Beta oxidation of butanoyl-CoA to acetyl-CoA, Fatty acid metabolism, Metabolism of lipids, Mitochondrial Fatty Acid Beta-Oxidation	cholesterol homeostasis, fatty acid biosynthetic process, regulation of blood pressure, acyl-CoA metabolic process	methylbutanoate-CoA ligase activity, fatty-acyl-CoA synthase activity, propionate CoA-transferase activity, metal ion binding, ATP binding, butyrate-CoA ligase activity, propionate-CoA ligase activity, fatty acid ligase activity	mitochondrial matrix, mitochondrion
ENSG00000196839	ADA	-1.1213138981048385	6.7853839297251284e-18	-1.2870300833333044	3.4229220425927346e-27	Metabolism, Purine salvage, Diseases of nucleotide metabolism, Diseases of metabolism, Drug ADME, Metabolism of nucleotides, Ribavirin ADME, Disease, Defective ADA disrupts (deoxy)adenosine deamination, Nucleotide salvage defects, Nucleotide salvage	germinal center B cell differentiation, T cell receptor signaling pathway, calcium-mediated signaling, trophectodermal cell differentiation, positive regulation of T cell receptor signaling pathway, xenobiotic metabolic process, amide catabolic process, positive regulation of germinal center formation, response to hypoxia, negative regulation of mucus secretion, xanthine biosynthetic process, response to inorganic substance, B cell proliferation, mature B cell apoptotic process, dAMP catabolic process, allantoin metabolic process, adenosine metabolic process, smooth muscle contraction, positive regulation of smooth muscle contraction, inosine biosynthetic process, germinal center formation, positive regulation of heart rate, negative regulation of thymocyte apoptotic process, GMP salvage, penile erection, hypoxanthine salvage, AMP catabolic process, cell adhesion, response to purine-containing compound, deoxyadenosine catabolic process, lung alveolus development, embryonic digestive tract development, leukocyte migration, placenta development, purine-containing compound salvage, adenosine catabolic process, T cell differentiation in thymus, negative regulation of mature B cell apoptotic process, mucus secretion, negative regulation of penile erection, alpha-beta T cell differentiation, positive regulation of T cell differentiation in thymus, positive regulation of alpha-beta T cell differentiation, negative regulation of leukocyte migration, Peyer's patch development, liver development, AMP salvage, thymocyte apoptotic process, positive regulation of calcium-mediated signaling, T cell activation, dATP catabolic process, negative regulation of inflammatory response, regulation of cell-cell adhesion mediated by integrin, negative regulation of adenosine receptor signaling pathway, purine nucleotide salvage, positive regulation of B cell proliferation	adenosine deaminase activity, deaminase activity, zinc ion binding, 2'-deoxyadenosine deaminase activity, protein binding	lysosome, cytosol, membrane, anchoring junction, external side of plasma membrane, cell surface, plasma membrane, cytoplasmic vesicle lumen
ENSG00000042980	ADAM28	-0.8359066868548384	2.025944525241437e-17	-1.2725052916666444	5.513177517978927e-29		spermatogenesis, proteolysis	metal ion binding, protein binding, metalloendopeptidase activity, metallopeptidase activity	mitochondrion, extracellular region, plasma membrane
ENSG00000187758	ADH1A	-0.1947491962258052	5.787244057989184e-05	-0.2677780833333196	6.338566684226422e-12	Abacavir metabolism, Metabolism, RA biosynthesis pathway, Signal Transduction, Biological oxidations, Phase I - Functionalization of compounds, Signaling by Retinoic Acid, Signaling by Nuclear Receptors, Drug ADME, Abacavir ADME, Ethanol oxidation	alcohol metabolic process, ethanol oxidation, retinol metabolic process, retinoic acid metabolic process	butanol dehydrogenase activity, zinc ion binding, alcohol dehydrogenase activity, zinc-dependent, NAD-retinol dehydrogenase activity, protein binding, alcohol dehydrogenase (NAD+) activity	cytosol, nucleoplasm, plasma membrane
ENSG00000196616	ADH1B	-1.3490184293225846	2.6668801928559275e-10	-0.9173401249999776	1.3903100624541672e-05	Biological oxidations, Ethanol oxidation, Metabolism, Phase I - Functionalization of compounds	retinoid metabolic process, ethanol oxidation, retinol metabolic process, retinoic acid metabolic process	NAD-retinol dehydrogenase activity, zinc ion binding, alcohol dehydrogenase activity, zinc-dependent	cytosol, nucleoplasm, plasma membrane
ENSG00000248144	ADH1C	-1.400395163645162	1.586230049742261e-11	-1.9157124583333245	7.135476957205535e-19	Metabolism, RA biosynthesis pathway, Signal Transduction, Biological oxidations, Phase I - Functionalization of compounds, Signaling by Retinoic Acid, Signaling by Nuclear Receptors, Ethanol oxidation	ethanol oxidation, retinol metabolic process, retinoic acid metabolic process	zinc ion binding, NAD-retinol dehydrogenase activity, alcohol dehydrogenase (NAD+) activity, alcohol dehydrogenase activity, zinc-dependent	cytosol, nucleoplasm, plasma membrane
ENSG00000198074	AKR1B10	-2.930860459645162	3.89269430376961e-15	-3.811453527777757	1.2259880541405731e-24	Metabolism, Visual phototransduction, Metabolism of vitamins and cofactors, Sensory Perception, Retinoid metabolism and transport, Metabolism of fat-soluble vitamins	cellular detoxification of aldehyde, retinoid metabolic process, farnesol catabolic process, doxorubicin metabolic process, daunorubicin metabolic process, retinol metabolic process	alditol:NADP+ 1-oxidoreductase activity, aldo-keto reductase (NADP) activity, geranylgeranyl reductase activity, alcohol dehydrogenase (NADP+) activity, NADP-retinol dehydrogenase activity, retinal dehydrogenase activity, indanol dehydrogenase activity, protein binding, allyl-alcohol dehydrogenase activity	lysosome, cytosol, mitochondrion, extracellular region
