id_gen	symbol	log2FC_GCAt_vs_GCAn	adj-p-value_GCAt_vs_GCAn	log2FC_GNCAt_vs_GNCAn	adj-p-value_GNCAt_vs_GNCAn	vias_reactome	BP	MF	CC
ENSG00000072110	ACTN1	0.5825289112419423	5.304682032104832e-05	1.040929583333373	9.558561026568416e-18	Signaling by Rho GTPases, Miro GTPases and RHOBTB3, RHOBTB GTPase Cycle, Cell-extracellular matrix interactions, RHOD GTPase cycle, Hemostasis, Cell junction organization, Non-integrin membrane-ECM interactions, RHO GTPase cycle, Syndecan interactions, Signal Transduction, Platelet degranulation , RHOBTB2 GTPase cycle, Extracellular matrix organization, Cell-Cell communication, Signaling by Rho GTPases, RHOF GTPase cycle, Platelet activation, signaling and aggregation, Response to elevated platelet cytosolic Ca2+, Regulation of cytoskeletal remodeling and cell spreading by IPP complex components, Nephrin family interactions	actin cytoskeleton organization, focal adhesion assembly, muscle cell development, actin filament bundle assembly, regulation of apoptotic process, platelet aggregation, platelet morphogenesis, platelet activation, positive regulation of DNA-templated transcription, actin filament network formation, platelet formation, actin filament organization, postsynapse organization	actin filament binding, double-stranded RNA binding, integrin binding, transmembrane transporter binding, vinculin binding, protein homodimerization activity, nuclear receptor coactivator activity, calcium ion binding, protein binding, structural constituent of postsynapse	Z disc, stress fiber, pseudopodium, focal adhesion, extracellular space, glutamatergic synapse, cell-cell junction, extracellular region, ruffle, cytoplasm, cytosol, extracellular exosome, platelet alpha granule lumen, cell projection, cell junction, actin filament, fascia adherens, cortical actin cytoskeleton, plasma membrane, brush border
ENSG00000106624	AEBP1	0.9235674707258053	7.068586956255892e-08	1.195442361111132	3.778932258996147e-17		peptide metabolic process, negative regulation of transcription by RNA polymerase II, protein processing, regulation of collagen fibril organization	calmodulin binding, extracellular matrix structural constituent, DNA-binding transcription repressor activity, RNA polymerase II-specific, zinc ion binding, metallocarboxypeptidase activity, collagen binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding	collagen-containing extracellular matrix, extracellular exosome, nucleus, extracellular region, extracellular space, cytoplasm
ENSG00000135046	ANXA1	1.1423906030322577	1.962016179903877e-07	1.2059284583333731	1.418264536053536e-15	Class A/1 (Rhodopsin-like receptors), G alpha (i) signalling events, Formyl peptide receptors bind formyl peptides and many other ligands, GPCR downstream signalling, Signal Transduction, Peptide ligand-binding receptors, Muscle contraction, Signaling by GPCR, Immune System, Cytokine Signaling in Immune system, G alpha (q) signalling events, Smooth Muscle Contraction, GPCR ligand binding, Interleukin-4 and Interleukin-13 signaling, Signaling by Interleukins	innate immune response, cell surface receptor signaling pathway, signal transduction, arachidonic acid secretion, positive regulation of wound healing, prostate gland development, gliogenesis, insulin secretion, regulation of interleukin-1 production, regulation of cell shape, response to estradiol, positive regulation of cell migration involved in sprouting angiogenesis, G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger, hepatocyte differentiation, positive regulation of T cell proliferation, positive regulation of G1/S transition of mitotic cell cycle, estrous cycle, negative regulation of T-helper 2 cell differentiation, keratinocyte differentiation, regulation of hormone secretion, myoblast migration involved in skeletal muscle regeneration, negative regulation of phospholipase A2 activity, localization, cell-cell adhesion, neutrophil activation, monocyte chemotaxis, peptide cross-linking, granulocyte chemotaxis, phagocytosis, negative regulation of apoptotic process, positive regulation of neutrophil apoptotic process, positive regulation of vesicle fusion, DNA duplex unwinding, response to peptide hormone, response to interleukin-1, endocrine pancreas development, cellular response to vascular endothelial growth factor stimulus, alpha-beta T cell differentiation, cellular response to hydrogen peroxide, positive regulation of prostaglandin biosynthetic process, actin cytoskeleton organization, regulation of leukocyte migration, positive regulation of interleukin-2 production, neutrophil clearance, positive regulation of T-helper 1 cell differentiation, inflammatory response, negative regulation of interleukin-8 production, cellular response to glucocorticoid stimulus, neutrophil homeostasis, prolactin secretion, regulation of inflammatory response, response to X-ray, adaptive immune response, negative regulation of exocytosis	calcium-dependent phospholipid binding, lipid binding, phospholipase A2 inhibitor activity, signaling receptor binding, cadherin binding involved in cell-cell adhesion, phospholipid binding, calcium ion binding, protein binding, calcium-dependent protein binding	endosome, nucleus, motile cilium, basolateral plasma membrane, focal adhesion, adherens junction, extracellular space, collagen-containing extracellular matrix, extracellular region, cell surface, cornified envelope, sarcolemma, vesicle, cytoplasm, cytosol, extracellular exosome, lateral plasma membrane, phagocytic cup, actin filament, nucleoplasm, plasma membrane, early endosome membrane, apical plasma membrane
ENSG00000130208	APOC1	0.9313486270483882	7.90864888456384e-17	0.7675185416666892	1.251192676098739e-13	NR1H2 and NR1H3-mediated signaling, Signal Transduction, NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux, VLDL assembly, Plasma lipoprotein clearance, Signaling by Nuclear Receptors, Transport of small molecules, Plasma lipoprotein assembly, remodeling, and clearance, VLDL clearance, Plasma lipoprotein assembly	lipid metabolic process, plasma lipoprotein particle remodeling, chylomicron remnant clearance, lipoprotein metabolic process, cholesterol metabolic process, negative regulation of very-low-density lipoprotein particle clearance, cholesterol efflux, very-low-density lipoprotein particle assembly, negative regulation of lipid metabolic process, negative regulation of cholesterol transport, regulation of cholesterol transport, negative regulation of receptor-mediated endocytosis, negative regulation of lipoprotein lipase activity, phospholipid efflux, negative regulation of lipid catabolic process, negative regulation of fatty acid biosynthetic process, high-density lipoprotein particle remodeling, very-low-density lipoprotein particle clearance, negative regulation of phosphatidylcholine catabolic process, triglyceride metabolic process	phosphatidylcholine binding, fatty acid binding, phospholipase inhibitor activity, protein binding, lipase inhibitor activity, phosphatidylcholine-sterol O-acyltransferase activator activity	very-low-density lipoprotein particle, extracellular region, endoplasmic reticulum, chylomicron, high-density lipoprotein particle
ENSG00000130203	APOE	1.449193693612905	1.1800671135933104e-17	1.5303665972222458	5.640713560797286e-25	Chylomicron assembly, Visual phototransduction, Metabolism of proteins, NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux, Chylomicron remodeling, Generic Transcription Pathway, Nuclear signaling by ERBB4, Post-translational protein phosphorylation, Signaling by ERBB4, Retinoid metabolism and transport, Gene expression (Transcription), NR1H2 and NR1H3-mediated signaling, Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs), Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors, Signaling by Nuclear Receptors, RNA Polymerase II Transcription, Plasma lipoprotein assembly, remodeling, and clearance, Metabolism of fat-soluble vitamins, HDL remodeling, Signaling by Receptor Tyrosine Kinases, Signal Transduction, Chylomicron clearance, Metabolism of vitamins and cofactors, Amyloid fiber formation, Sensory Perception, Plasma lipoprotein clearance, Scavenging by Class A Receptors, Binding and Uptake of Ligands by Scavenger Receptors, Metabolism, Post-translational protein modification, Transport of small molecules, Plasma lipoprotein remodeling, Vesicle-mediated transport, Plasma lipoprotein assembly	lipid transport involved in lipid storage, very-low-density lipoprotein particle remodeling, long-chain fatty acid transport, negative regulation of canonical Wnt signaling pathway, negative regulation of protein secretion, regulation of proteasomal protein catabolic process, positive regulation of lipid transport across blood-brain barrier, positive regulation of membrane protein ectodomain proteolysis, vasodilation, triglyceride homeostasis, negative regulation of triglyceride metabolic process, intermediate-density lipoprotein particle clearance, gene expression, reverse cholesterol transport, AMPA glutamate receptor clustering, negative regulation of endothelial cell proliferation, intracellular transport, response to reactive oxygen species, phospholipid efflux, regulation of protein metabolic process, high-density lipoprotein particle remodeling, positive regulation of amyloid-beta clearance, intermembrane lipid transfer, cholesterol homeostasis, lipoprotein biosynthetic process, regulation of Cdc42 protein signal transduction, regulation of cholesterol metabolic process, positive regulation of phospholipid efflux, positive regulation of cholesterol efflux, positive regulation of lipid biosynthetic process, artery morphogenesis, negative regulation of amyloid-beta formation, negative regulation of platelet activation, regulation of cellular response to very-low-density lipoprotein particle stimulus, negative regulation of MAP kinase activity, cellular oxidant detoxification, positive regulation of heparan sulfate proteoglycan binding, negative regulation of blood vessel endothelial cell migration, regulation of amyloid precursor protein catabolic process, regulation of amyloid fibril formation, fatty acid homeostasis, negative regulation of cholesterol biosynthetic process, positive regulation of amyloid fibril formation, negative regulation of smooth muscle cell proliferation, receptor-mediated endocytosis, virion assembly, negative regulation of inflammatory response, regulation of protein-containing complex assembly, response to caloric restriction, triglyceride-rich lipoprotein particle clearance, positive regulation of heparan sulfate binding, long-term memory, negative regulation of protein metabolic process, negative regulation of neuron projection development, positive regulation by host of viral process, melanosome organization, cholesterol catabolic process, chylomicron remnant clearance, positive regulation of dendritic spine maintenance, cGMP-mediated signaling, protein import, cholesterol metabolic process, maintenance of location in cell, regulation of innate immune response, nitric oxide mediated signal transduction, response to dietary excess, regulation of amyloid-beta clearance, intracellular calcium ion homeostasis, G protein-coupled receptor signaling pathway, amyloid precursor protein metabolic process, regulation of axon extension, negative regulation of endothelial cell migration, positive regulation of ERK1 and ERK2 cascade, positive regulation of dendritic spine development, triglyceride metabolic process, negative regulation of amyloid fibril formation, regulation of neuronal synaptic plasticity, locomotory exploration behavior, positive regulation of cholesterol metabolic process, positive regulation of CoA-transferase activity, negative regulation of neuron apoptotic process, negative regulation of long-term synaptic potentiation, NMDA glutamate receptor clustering, positive regulation of nitric-oxide synthase activity, low-density lipoprotein particle remodeling, cholesterol efflux, regulation of behavioral fear response, negative regulation of blood coagulation, negative regulation of gene expression, positive regulation of neuron projection development, neuron projection development, high-density lipoprotein particle assembly, cytoskeleton organization, very-low-density lipoprotein particle clearance, positive regulation of low-density lipoprotein particle receptor catabolic process, positive regulation of endocytosis, lipoprotein catabolic process, positive regulation of DNA-templated transcription, high-density lipoprotein particle clearance, synaptic transmission, cholinergic	amyloid-beta binding, cholesterol transfer activity, signaling receptor binding, tau protein binding, enzyme binding, very-low-density lipoprotein particle receptor binding, identical protein binding, heparan sulfate proteoglycan binding, low-density lipoprotein particle receptor binding, metal chelating activity, protein-containing complex binding, lipid transporter activity, lipoprotein particle binding, heparin binding, phospholipid binding, antioxidant activity, protein binding, lipid binding, structural molecule activity, protein homodimerization activity, protein dimerization activity, phosphatidylcholine-sterol O-acyltransferase activator activity	clathrin-coated endocytic vesicle membrane, nucleus, neuronal cell body, endocytic vesicle lumen, endoplasmic reticulum lumen, early endosome, Golgi apparatus, extracellular space, glutamatergic synapse, collagen-containing extracellular matrix, discoidal high-density lipoprotein particle, multivesicular body, internal vesicle, extracellular region, melanosome, synaptic cleft, cytoplasm, extracellular exosome, lipoprotein particle, membrane, endoplasmic reticulum, extracellular vesicle, high-density lipoprotein particle, very-low-density lipoprotein particle, dendrite, blood microparticle, intermediate-density lipoprotein particle, extracellular matrix, chylomicron, plasma membrane, low-density lipoprotein particle
ENSG00000240583	AQP1	0.492014309451612	0.0105636538296571	0.9003207013889156	3.686196620173354e-09	Vasopressin regulates renal water homeostasis via Aquaporins, Erythrocytes take up oxygen and release carbon dioxide, Passive transport by Aquaporins, O2/CO2 exchange in erythrocytes, Transport of small molecules, Aquaporin-mediated transport, Erythrocytes take up carbon dioxide and release oxygen	renal water absorption, renal water transport, cellular response to dexamethasone stimulus, establishment of localization in cell, cellular response to cAMP, cellular response to salt stress, intracellular water homeostasis, cellular response to mercury ion, metanephric proximal straight tubule development, positive regulation of fibroblast proliferation, multicellular organismal-level water homeostasis, cellular response to nitric oxide, cellular response to copper ion, cGMP-mediated signaling, establishment or maintenance of actin cytoskeleton polarity, potassium ion transport, cerebrospinal fluid secretion, negative regulation of cysteine-type endopeptidase activity involved in apoptotic process, positive regulation of angiogenesis, secretory granule organization, positive regulation of saliva secretion, lipid digestion, cellular response to mechanical stimulus, renal water homeostasis, odontogenesis, hyperosmotic response, carbon dioxide transmembrane transport, metanephric descending thin limb development, metanephric proximal convoluted tubule segment 2 development, ammonium transmembrane transport, fibroblast migration, metanephric glomerulus vasculature development, glomerular filtration, cellular response to hypoxia, glycerol transmembrane transport, negative regulation of apoptotic process, cellular response to retinoic acid, cellular response to inorganic substance, water transport, cellular homeostasis, camera-type eye morphogenesis, wound healing, cellular response to hydrogen peroxide, cellular response to UV, defense response to Gram-negative bacterium, cellular hyperosmotic response, positive regulation of fibroblast migration, pancreatic juice secretion, potassium ion transmembrane transport, cell volume homeostasis, lateral ventricle development, corticotropin secretion, sensory perception of pain, nitric oxide transport, transepithelial water transport, carbon dioxide transport	water channel activity, nitric oxide transmembrane transporter activity, potassium channel activity, intracellular cGMP-activated cation channel activity, ammonium transmembrane transporter activity, transmembrane transporter activity, carbon dioxide transmembrane transporter activity, identical protein binding, glycerol transmembrane transporter activity, ephrin receptor binding, potassium ion transmembrane transporter activity, protein binding, water transmembrane transporter activity	basal plasma membrane, extracellular exosome, nucleus, nuclear membrane, basolateral plasma membrane, ankyrin-1 complex, axon, sarcolemma, plasma membrane, apical part of cell, brush border, apical plasma membrane, brush border membrane, cytoplasm
ENSG00000130429	ARPC1B	1.186396840999997	1.5868133514589524e-24	1.011004222222244	1.0540544791350534e-21	RHO GTPase Effectors, Signaling by Rho GTPases, Miro GTPases and RHOBTB3, Nervous system development, Parasite infection, Immune System, Parasitic Infection Pathways, EPHB-mediated forward signaling, EPH-Ephrin signaling, Leishmania phagocytosis, Axon guidance, Fcgamma receptor (FCGR) dependent phagocytosis, Innate Immune System, Signal Transduction, FCGR3A-mediated phagocytosis, Developmental Biology, Disease, RHO GTPases Activate WASPs and WAVEs, Signaling by Rho GTPases, Regulation of actin dynamics for phagocytic cup formation, Infectious disease, Leishmania infection	response to estrogen, Arp2/3 complex-mediated actin nucleation, response to estradiol	actin filament binding, structural constituent of cytoskeleton, protein binding	cytosol, extracellular exosome, nucleus, tubulobulbar complex, actin cytoskeleton, focal adhesion, Arp2/3 protein complex
ENSG00000066279	ASPM	1.4799248907903229	9.115392455684532e-20	1.214684972222253	1.598619367391466e-13		asymmetric cell division, forebrain neuroblast division, negative regulation of asymmetric cell division, spindle organization, developmental growth, spindle localization, neuronal stem cell population maintenance, positive regulation of canonical Wnt signaling pathway, oogenesis, maintenance of centrosome location, neuron migration, negative regulation of neuron differentiation, regulation of meiotic cell cycle, meiotic spindle assembly, spermatogenesis, male gonad development, positive regulation of neuroblast proliferation, cerebral cortex development		midbody, nucleus, meiotic spindle, centrosome, mitotic spindle pole, apical plasma membrane, microtubule minus-end, cytoplasm
ENSG00000106819	ASPN	2.04255214543549	1.6131700310284748e-17	2.527783458333359	1.7152316698256118e-23	ECM proteoglycans, Extracellular matrix organization	negative regulation of transforming growth factor beta receptor signaling pathway, bone mineralization, response to fluoride, negative regulation of tooth mineralization	calcium ion binding, extracellular matrix structural constituent conferring compression resistance	cell projection, collagen-containing extracellular matrix, extracellular matrix, extracellular space
ENSG00000130707	ASS1	0.9305720657258014	1.7320176621763828e-10	1.0364594305555936	6.803481268998616e-12	Urea cycle, Metabolism, Metabolism of amino acids and derivatives	cellular response to laminar fluid shear stress, cellular response to dexamethasone stimulus, cellular response to amine stimulus, cellular response to lipopolysaccharide, response to xenobiotic stimulus, urea cycle, cellular response to cAMP, kidney development, response to zinc ion, response to estradiol, cellular response to glucagon stimulus, aspartate metabolic process, positive regulation of nitric oxide biosynthetic process, cellular response to type II interferon, cellular response to tumor necrosis factor, cellular response to oleic acid, response to mycotoxin, negative regulation of leukocyte cell-cell adhesion, citrulline metabolic process, argininosuccinate metabolic process, liver development, cellular response to amino acid stimulus, acute-phase response, cellular response to ammonium ion, diaphragm development, response to nutrient, response to growth hormone, midgut development, circadian rhythm, arginine biosynthetic process	identical protein binding, amino acid binding, toxic substance binding, argininosuccinate synthase activity, ATP binding, protein binding, RNA binding	mitochondrial outer membrane, cytosol, cell body fiber, extracellular exosome, nucleoplasm, perikaryon, cytoplasm
