id_sonda	GSM1218931_sample_table	GSM1218937_sample_table	GSM1218940_sample_table	GSM1218948_sample_table	GSM1218950_sample_table	GSM1218935_sample_table	Media	Error estándar %
2513515	3.57522	9.65292	2.54509	3.15718	3.44221	4.20662	4.429873333333333	22.005036054917756
2903233	10.48173	3.87659	3.85478	2.93906	2.7839	4.48049	4.736091666666667	22.70650112667991
4012541	3.76826	4.12487	11.27817	3.40774	3.35263	3.82704	4.959785	23.35721588890225
2491242	3.37639	3.14515	3.1189	10.71996	2.73693	3.47393	4.428543333333333	26.0262176485482
3582081	8.30188	2.53893	3.49914	4.70269	2.88261	2.51712	4.073728333333333	20.37446016743365
3791948	2.5101	2.47095	4.63839	2.63597	5.16016	9.12756	4.4238550000000005	21.7685258285173
2772099	9.12003	2.75547	2.87848	5.27201	8.21994	2.87532	5.186875	20.639935521055296
4048245	3.53744	10.63108	10.01436	2.83385	3.00711	11.05615	6.846665000000001	22.29345430048181
4012536	3.00931	3.09923	12.61806	4.33519	3.2149	3.89145	5.028023333333333	27.82486517344056
4012538	3.13249	3.34621	10.0523	3.32133	3.88064	3.41111	4.524013333333333	22.404456165677598
3720395	10.07239	3.61697	4.81417	2.70025	3.37639	2.803	4.563861666666667	22.88970701655243
2502004	9.55373	2.75415	2.8663	10.39102	3.99907	3.04121	5.434246666666667	24.363275548774904
4012532	4.76271	4.34466	11.64875	4.19838	4.08687	3.67216	5.452255	20.89053959659422
4012571	4.14607	4.31809	11.29334	3.96586	4.17506	4.21086	5.351546666666667	20.286810592035817
4048243	3.53225	9.97237	8.51488	3.23039	3.07951	10.26498	6.4323966666666665	20.313307898967143
2511073	2.76127	7.16982	2.69826	2.5707	2.69663	2.59486	3.4152566666666666	20.086233463108343
4012544	3.02186	2.46009	8.37488	2.88199	2.72721	2.77719	3.7072033333333327	23.06390050400034
3719029	2.88132	2.892	4.44306	3.25229	3.45306	9.47739	4.399853333333334	21.620229177275416
4012540	2.62284	2.57351	11.04125	2.66817	2.89981	2.78887	4.099075	30.939448885933313
3535336	7.8852	2.63332	3.40281	3.11976	2.916	2.5114	3.744748333333334	20.44121893328912
2773370	2.80922	2.69131	4.05885	4.09517	2.81372	8.62144	4.181618333333334	20.209572082122527
4012545	4.50334	4.97294	12.90156	5.6561	4.21075	4.50324	6.124655	20.43525952347961
4012597	4.1596	3.55311	11.05006	3.78654	2.97811	3.81695	4.890728333333333	23.185994947373782
2502005	9.6077	3.22166	3.15322	10.71996	4.03785	3.75437	5.749126666666666	22.38653986573048
3177141	3.91547	3.46427	9.56819	3.15718	2.97433	2.947	4.337739999999999	22.233841483123754
2345033	10.09513	3.36727	3.03668	9.33613	11.74115	4.69402	7.045063333333334	20.035566895502434
3103721	2.93354	2.53307	3.72157	3.01094	3.02053	8.4944	3.952341666666667	21.29031832368855
4012573	3.44025	4.46427	10.66984	3.8988	3.76981	3.73868	4.996941666666666	20.878423757970946
3517794	2.73928	2.50281	2.90489	2.9185	2.79538	7.42864	3.5482499999999995	20.028882959504053
