id_sonda	GSM1218934_sample_table	GSM1218938_sample_table	GSM1218943_sample_table	Media	Error estándar %
2868053	7.05171	12.10505	5.42634	8.194366666666665	20.03634113634161
3756593	4.90122	6.79594	12.39145	8.029536666666667	22.86420278465507
3683099	2.6399	6.82512	4.35737	4.607463333333333	21.524544013518728
2984261	2.84232	6.4435	3.06939	4.118403333333334	23.08478151282761
2920098	6.41481	2.64585	3.09616	4.052273333333333	23.945177604308977
2584916	6.22249	2.95537	2.81553	3.997796666666666	22.73315073527302
3500039	2.86562	5.49339	2.47089	3.6099666666666663	21.454847038320356
3428351	2.86562	6.10843	2.82192	3.9319900000000003	22.598928515819697
2569371	3.66433	6.14038	2.40246	4.0690566666666665	22.029572179106164
3209654	2.71851	6.82608	4.27488	4.60649	21.221859049739255
3549095	8.20827	4.26408	3.13107	5.20114	24.155590966492706
3907394	2.43943	5.72549	2.87072	3.678546666666667	22.88462219687582
3180950	2.5947	5.05251	2.31081	3.31934	21.41150395798177
3506301	2.30199	5.4444	3.33971	3.6953666666666667	20.424782132677816
4034181	7.25046	3.33099	2.91989	4.500446666666667	25.03889232836402
4012515	2.72803	6.02491	2.98127	3.911403333333334	22.11220723232691
2755359	10.14662	4.18881	4.50861	6.281346666666667	25.150506874580408
3951218	3.21423	4.82132	9.68871	5.908086666666667	26.899333840955013
4055100	4.68674	9.61771	4.61846	6.307636666666667	21.425260875140374
3374902	5.77615	8.98828	3.43507	6.0665000000000004	21.664229353860335
2827310	3.03398	6.52864	2.99402	4.185546666666667	22.85508423421604
2342169	2.91435	7.14733	2.70517	4.2556166666666675	27.764863340330226
3664403	2.77512	6.10843	2.7964	3.8933166666666668	23.227757170069278
2856050	7.37459	3.49367	3.64876	4.839006666666666	21.405070952334242
3802948	3.21593	6.90186	3.20251	4.4401	22.634947169268845
3561563	4.18517	8.29409	3.60717	5.362143333333333	22.466581816361035
3894968	3.05957	6.64664	2.82192	4.176043333333333	24.18966961612276
2584915	6.98148	3.00967	4.03442	4.675190000000001	20.791162011103356
3199007	2.77512	7.26178	4.36314	4.800013333333333	22.342652119088395
2433449	3.46427	8.70157	5.99231	6.052716666666666	20.3989352515288
3951232	2.57139	5.2829	2.51555	3.4566133333333333	21.572981958748823
2345029	3.46427	12.27378	3.45144	6.396496666666667	37.51104556322654
3894113	6.30349	2.77405	3.41448	4.164006666666666	21.28690985754343
3445575	2.43943	4.8571	2.42524	3.2405900000000005	20.364992774462735
3492781	3.14488	6.20596	2.78757	4.0461366666666665	21.89142765920293
3900861	4.85868	7.72331	3.06946	5.217149999999999	21.211621658111955
3490924	9.22036	4.79743	3.55466	5.857483333333334	23.96576035337611
3520062	3.11331	6.84857	3.4228	4.4615599999999995	21.90308431795441
3175527	6.39777	3.00805	3.41047	4.272096666666667	20.4342465321764
3534650	2.5947	5.72549	3.28287	3.8676866666666663	20.053220699857533
2903233	3.5654	10.81934	8.62749	7.670743333333334	22.86371737670617
3532966	2.93994	7.74202	5.93776	5.539906666666667	20.640341118855126
3756603	5.68456	5.10396	10.87313	7.22055	20.73839123831967
2742764	5.3068	2.61826	2.60705	3.5107033333333333	20.886360497045192
2340343	8.84692	6.2112	3.46439	6.17417	20.54955651659186
3070819	3.54686	2.75744	6.26406	4.189453333333333	20.698464354932455
3374395	2.57139	5.11173	2.44804	3.377053333333333	20.987981771678847
2440450	6.99596	11.00406	4.05417	7.351396666666666	22.370159012523718
2344997	3.23658	6.79209	3.09303	4.3739	22.584000043033722
3392076	10.99381	11.62822	2.89112	8.504383333333335	27.00347004803666
3725587	3.79938	8.05197	3.55438	5.135243333333333	23.215026796406402
2950063	3.20248	9.37963	7.70862	6.763576666666666	22.269558217165667
2563458	3.79099	7.7976	3.71285	5.10048	21.591078751292876
3279579	4.4896	7.3822	3.14872	5.00684	20.370914993781895
3392112	10.27497	9.43824	3.6301	7.781103333333333	21.925906260552726
3633719	2.37134	5.72549	2.53896	3.545263333333333	25.13072062313068
3041430	2.79033	4.78042	7.14896	4.906569999999999	20.964319154772053
3140270	3.47164	7.95496	4.22281	5.21647	21.69890237149298
2345051	6.84437	12.71889	5.74315	8.43547	20.95742434186212
2462537	2.96318	7.33851	7.86456	6.055416666666667	20.947771337067568
2909207	3.14021	6.96826	3.82889	4.645786666666667	20.705651135994295
2769846	3.16227	2.96858	6.24248	4.124443333333333	20.99408636577162
3053494	4.51752	8.60854	3.55045	5.558836666666667	22.76968900484738
3075232	2.84232	5.92739	2.97019	3.9133	21.025757949395345
4011983	2.50468	5.39059	2.94246	3.612576666666667	20.294887606795577
3492588	2.70737	5.76598	2.72734	3.733563333333333	22.223916044087787
2684825	3.34982	6.4435	2.97019	4.254503333333333	21.10993002327659
2924194	4.23867	8.07948	3.904	5.407383333333333	20.22655216130435
2382708	5.26594	2.56507	2.57467	3.4685599999999996	21.155199884174625
3366613	2.72803	5.53604	2.6294	3.631156666666667	21.42603122333779
3435840	2.93994	5.59008	2.47089	3.6669700000000005	21.621454204404007
2774694	7.44097	2.75744	5.31539	5.171266666666667	21.377460923156853
2500727	2.91435	6.4435	3.12473	4.1608600000000004	22.428109773709924
3134356	3.29479	6.14038	2.65737	4.030846666666666	21.688252161957898
3136926	3.52526	6.92552	3.35919	4.603323333333333	20.61207719856099
3624699	3.38022	6.50697	3.0339	4.30703	20.93841074851671
2563595	2.98596	6.20644	3.2563	4.149566666666666	20.294388044579968
2868064	6.55828	11.70596	4.41683	7.560356666666667	23.359993076160652
3764991	2.5947	5.4444	2.44804	3.4957133333333332	22.779289814633707
3612989	3.13436	6.74234	3.48251	4.453069999999999	21.06830092553072
4037786	6.63215	3.00856	2.84252	4.161076666666667	24.262237487926612
3343907	2.325	5.11173	2.40246	3.2797300000000003	22.8108313736317
3412400	2.82185	6.62271	3.99101	4.4785233333333325	20.491416568988484
3412445	3.11331	6.3604	3.23049	4.234733333333334	20.502806896048405
3468627	2.65939	5.1716	2.49578	3.4422566666666667	20.540417095936185
3659618	3.1919	6.26827	3.0215	4.1605566666666665	20.70413341144541
3860417	2.93994	2.26116	6.25485	3.8186500000000003	26.380016803512525
3011903	7.89772	2.85789	3.95779	4.904466666666667	25.47041685238969
3800556	2.37134	6.10843	2.53896	3.67291	27.092455320900726
3280999	4.21468	6.96116	2.9948	4.723546666666667	20.274675641688987
3646582	7.40113	2.85789	7.1751	5.811373333333333	20.768428789548373
3400622	3.27002	7.81914	3.50675	4.865303333333333	24.812203853885414
4051361	3.11331	7.62281	3.31229	4.682803333333333	25.650632179487644
3575754	3.32658	2.75744	6.62147	4.235163333333333	23.219842858153783
3565548	3.66433	7.62281	3.17343	4.82019	23.857990425195545
3466586	3.1919	6.2995	2.72734	4.072913333333333	22.47952285250023
2768114	8.05795	4.28463	3.68493	5.342503333333333	20.918128012052886
2561189	6.37695	11.60499	3.90531	7.295750000000001	25.400955743052904
2626201	5.15158	2.45893	2.77631	3.4622733333333335	20.036022655525404
3849232	3.75086	8.85168	4.88341	5.82865	21.663451126057698
3392071	10.49618	11.27587	3.80472	8.52559	22.7084473252702
3199538	7.8488	3.47619	9.80997	7.0449866666666665	21.696665488494823
2821774	5.82664	3.33099	2.56258	3.906736666666667	20.591375725892856
2925918	7.6749	3.55535	2.78595	4.672066666666667	26.524506146451838
3461450	2.89125	2.75744	5.72124	3.7899766666666665	20.819799073364063
2564415	4.30863	8.62971	4.41095	5.783096666666666	20.099529926240116
3378510	3.29562	6.52923	3.29814	4.37433	20.111295710100897
2963369	7.92141	7.21364	2.91989	6.0183133333333325	21.19994661618078
2526018	4.17883	8.76725	4.30008	5.74872	21.44200898603955
3436877	2.79055	7.02558	4.16144	4.65919	21.863876452875193
3012921	3.4221	2.74663	7.24163	4.4701200000000005	25.561072764104903
3800942	2.61562	6.07201	3.4228	4.03681	21.11496686614204
3544540	4.16909	9.11923	4.43201	5.906776666666666	22.227722197849754
3660115	8.09738	2.85789	8.95615	6.63714	23.445239308600392
3499438	3.21305	6.2995	3.09731	4.203286666666667	20.370017140328432
3091151	6.38658	2.4987	5.39373	4.75967	20.00643442787168
3925124	3.75574	6.10843	2.40246	4.088876666666667	21.62035663883887
4052412	3.24742	7.93751	3.93609	5.04034	23.685924110450994
3392073	10.37711	11.29504	4.34856	8.67357	20.509251963512813
2397959	5.80297	2.6418	8.26944	5.5714033333333335	23.86852943632969
2431412	2.6791	5.76598	2.67753	3.7075366666666674	22.666156234735745
2440421	5.22592	12.24427	3.88786	7.119350000000001	29.720083294373563
2678572	7.71986	4.09803	3.74159	5.186493333333333	20.006760622621837
3561646	4.27791	8.57389	3.8925	5.581433333333334	21.94845046368414
3969665	6.15804	3.68133	2.51555	4.118306666666666	21.29228140516808
4027954	5.19306	2.61813	2.42524	3.4121433333333333	21.349522378558827
3568682	6.36219	2.45893	6.52341	5.114843333333334	21.211553992443662
3796136	3.08428	6.23976	2.63267	3.9855700000000005	23.243975563884256
3689449	7.94514	3.20121	8.70905	6.6184666666666665	21.25357086028475
