id_gen	symbol	log2FC_E1_vs_Ctrl	adj-p-value_E1_vs_Ctrl	log2FC_E2_vs_Ctrl	adj-p-value_E2_vs_Ctrl	log2FC_E3_vs_Ctrl	adj-p-value_E3_vs_Ctrl	log2FC_E4_vs_Ctrl	adj-p-value_E4_vs_Ctrl	BP	MF	CC	vias_reactome
ENSG00000163359	COL6A3	1.6433549999999997	0.41663602226806334	1.7845600000000026	0.0014164137825056918	1.6821850000000005	0.45604467166432505	0.9793083333333339	0.346469284117096	response to glucose, muscle organ development, negative regulation of peptidase activity, cell adhesion	serine-type endopeptidase inhibitor activity, extracellular matrix structural constituent conferring tensile strength	extracellular exosome, extracellular vesicle, collagen type VI trimer, sarcolemma, endoplasmic reticulum lumen, extracellular space, extracellular matrix, collagen-containing extracellular matrix, extracellular region	Extracellular matrix organization, Collagen degradation, Signal Transduction, Integrin cell surface interactions, Assembly of collagen fibrils and other multimeric structures, NCAM1 interactions, ECM proteoglycans, NCAM signaling for neurite out-growth, Axon guidance, Collagen chain trimerization, Nervous system development, Collagen formation, Signaling by Receptor Tyrosine Kinases, Signaling by PDGF, Collagen biosynthesis and modifying enzymes, Degradation of the extracellular matrix, Developmental Biology
ENSG00000236094	LINC00545	0.17797899999999878	0.9651283989347931	0.15400400000000047	0.6440066442564263	1.019258999999999	0.40256399029341855	0.11351233333333344	0.9330840712165429				
ENSG00000146592	CREB5	0.8616075000000007	0.5776305041542324	0.5820041666666693	0.07298708714048618	0.24008750000000045	0.9564808439445271	0.3593758333333348	0.7081009169578201	regulation of transcription by RNA polymerase II, positive regulation of DNA-templated transcription	cAMP response element binding, protein binding, metal ion binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific double-stranded DNA binding	chromatin, extracellular exosome, nucleus	
ENSG00000168785	TSPAN5	1.3988820000000004	0.25121362461095537	1.038085333333334	0.0049005398012442105	-0.04691799999999979	0.9953149316372073	0.838405333333335	0.1917010984767909	positive regulation of Notch signaling pathway, protein localization to plasma membrane, protein maturation	enzyme binding, protein binding	endoplasmic reticulum lumen, actin cytoskeleton, nucleoplasm, plasma membrane	Metabolism of proteins, Amyloid fiber formation
ENSG00000163629	PTPN13	2.465917000000003	0.1876818368289435	1.271018666666671	0.02556039629089481	2.1449770000000026	0.3534338784313096	1.6337770000000038	0.08973835475472125	protein dephosphorylation, cellular response to toxic substance, negative regulation of excitatory synapse assembly, peptidyl-tyrosine dephosphorylation, regulation of phosphatidylinositol 3-kinase signaling, negative regulation of protein phosphorylation	protein tyrosine phosphatase activity, phosphatidylinositol 3-kinase regulatory subunit binding, protein binding	extracellular exosome, fibrillar center, lamellipodium, nucleus, cytosol, cytoskeleton, cytoplasm, nucleoplasm, plasma membrane, cell body	RND3 GTPase cycle, Signaling by Rho GTPases, Miro GTPases and RHOBTB3, Signaling by Interleukins, Signal Transduction, Metabolism, PI Metabolism, Metabolism of lipids, Cytokine Signaling in Immune system, Phospholipid metabolism, Immune System, Interleukin-37 signaling, RND2 GTPase cycle, Synthesis of PIPs at the plasma membrane, RHO GTPase cycle, RND1 GTPase cycle, Interleukin-1 family signaling, Signaling by Rho GTPases
ENSG00000011426	ANLN	1.7598610000000008	0.09621519247923664	1.7480193333333371	3.8939276125172844e-05	0.9803510000000006	0.5436711708694708	1.2498543333333352	0.024121995667195407	podocyte cell migration, mitotic cytokinesis, septin ring organization, septin ring assembly, hematopoietic progenitor cell differentiation, positive regulation of bleb assembly, regulation of exit from mitosis, actomyosin contractile ring assembly	cadherin binding, actin binding	cell cortex, actin cytoskeleton, cytosol, actomyosin contractile ring, nucleoplasm, midbody, bleb	Signaling by Rho GTPases, Miro GTPases and RHOBTB3, RHOA GTPase cycle, RHOB GTPase cycle, RHOC GTPase cycle, Signal Transduction, RHO GTPase cycle, Signaling by Rho GTPases
ENSG00000181104	F2R	1.4518080000000024	0.2757182716101583	1.0645080000000045	0.0067675671294609155	1.0288380000000013	0.5928030668050459	1.1240546666666686	0.07933385925400356	negative regulation of cell population proliferation, cell-cell junction maintenance, inflammatory response, negative regulation of renin secretion into blood stream, connective tissue replacement involved in inflammatory response wound healing, thrombin-activated receptor signaling pathway, positive regulation of calcium ion transport, homeostasis of number of cells within a tissue, positive regulation of ERK1 and ERK2 cascade, positive regulation of GTPase activity, response to lipopolysaccharide, positive regulation of DNA-templated transcription, positive regulation of interleukin-8 production, positive regulation of interleukin-6 production, anatomical structure morphogenesis, positive regulation of Rho protein signal transduction, regulation of blood coagulation, positive regulation of phosphatidylinositol 3-kinase signaling, negative regulation of glomerular filtration, positive regulation of cytosolic calcium ion concentration, positive regulation of blood coagulation, positive regulation of cell migration, positive regulation of vasoconstriction, positive regulation of smooth muscle contraction, G protein-coupled receptor signaling pathway, positive regulation of collagen biosynthetic process, positive regulation of I-kappaB kinase/NF-kappaB signaling, release of sequestered calcium ion into cytosol, establishment of synaptic specificity at neuromuscular junction, platelet activation, phospholipase C-activating G protein-coupled receptor signaling pathway, positive regulation of MAPK cascade, protein kinase C-activating G protein-coupled receptor signaling pathway, regulation of interleukin-1 beta production, positive regulation of receptor signaling pathway via JAK-STAT, platelet dense granule organization, positive regulation of release of sequestered calcium ion into cytosol, regulation of sensory perception of pain, trans-synaptic signaling by endocannabinoid, modulating synaptic transmission, response to wounding, dendritic cell homeostasis, positive regulation of cysteine-type endopeptidase activity involved in apoptotic process, negative regulation of neuron apoptotic process, positive regulation of cell population proliferation, positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway, activation of cysteine-type endopeptidase activity involved in apoptotic process	protein binding, G protein-coupled receptor activity, thrombin-activated receptor activity, G-protein beta-subunit binding, signaling receptor binding, G-protein alpha-subunit binding	caveola, Golgi apparatus, platelet dense tubular network, postsynaptic membrane, cell surface, late endosome, neuromuscular junction, early endosome, extracellular region, plasma membrane	Peptide ligand-binding receptors, Thrombin signalling through proteinase activated receptors (PARs), Hemostasis, Signal Transduction, G alpha (q) signalling events, Signaling by GPCR, GPCR ligand binding, Class A/1 (Rhodopsin-like receptors), Platelet activation, signaling and aggregation, GPCR downstream signalling, Formation of Fibrin Clot (Clotting Cascade), Common Pathway of Fibrin Clot Formation
ENSG00000129474	AJUBA	0.983873	0.24531242115288313	0.8817313333333345	0.0011913411453759136	0.716723	0.5427233880716863	1.1962563333333351	0.003659571118053753	positive regulation of miRNA-mediated gene silencing, I-kappaB kinase/NF-kappaB signaling, regulation of DNA-templated transcription, negative regulation of transcription by RNA polymerase II, negative regulation of hippo signaling, glycerophospholipid biosynthetic process, protein localization, regulation of cell migration, regulation of GTPase activity, positive regulation of I-kappaB kinase/NF-kappaB signaling, wound healing, spreading of epidermal cells, positive regulation of MAP kinase activity, negative regulation of kinase activity, regulation of cellular response to hypoxia, positive regulation of cellular biosynthetic process, lamellipodium assembly, cell cycle, focal adhesion assembly, positive regulation of protein-containing complex assembly, miRNA-mediated gene silencing, response to hypoxia, cytoskeleton organization, calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	actin filament binding, protein binding, metal ion binding, alpha-catenin binding, transcription corepressor activity, chromatin binding	microtubule organizing center, Golgi apparatus, lamellipodium, nucleus, cell-cell junction, cytosol, transcription regulator complex, focal adhesion, adherens junction, P-body, nucleoplasm, plasma membrane	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha, Activation of anterior HOX genes in hindbrain development during early embryogenesis, G2/M Transition, Cell Cycle, Mitotic, Cellular responses to stress, Mitotic G2-G2/M phases, Regulation of PLK1 Activity at G2/M Transition, Activation of HOX genes during differentiation, Developmental Biology, Cell Cycle, Cellular response to hypoxia, Cellular responses to stimuli
ENSG00000187258	NPSR1	-0.01654700000000009	0.9980901475526786	0.14786300000000185	0.7833247809688626	2.1979729999999993	0.16064809749126083	0.2224563333333336	0.9058696423808795	negative regulation of defecation, positive regulation of release of sequestered calcium ion into cytosol, eating behavior, neuropeptide signaling pathway, negative regulation of eating behavior, righting reflex, positive regulation of ERK1 and ERK2 cascade	vasopressin receptor activity, neuropeptide receptor activity	cytoplasm, plasma membrane	G alpha (s) signalling events, Peptide ligand-binding receptors, Signal Transduction, G alpha (q) signalling events, Signaling by GPCR, GPCR ligand binding, Class A/1 (Rhodopsin-like receptors), GPCR downstream signalling
ENSG00000042832	TG	1.5990980000000006	0.05345681576928063	0.829259666666669	0.003383903332654645	0.3417779999999997	0.9010107710176722	1.2302780000000002	0.005721508398501952	signal transduction, regulation of myelination, iodide transport, thyroid hormone generation, hormone biosynthetic process, thyroid gland development	identical protein binding, hormone activity, protein binding	extracellular region, extracellular space	
