id_gen	RA271	RA273	RA281	RA282	RA288	RA289	FNB4	FNB36	FNB37	FNB39	FNB40	FNB41	FNB43	FNB44A	FNB44B	FNB45	FNB6	FNB7	FNB8	FNB12	FNB29	FNB32	FNB33	FNB35
ENSG00000000003	274.1	221.10000000000002	289.65	274.9	234.60000000000002	185.75	173.5	344.05	315.1	248.35	245.89999999999998	197.2	229.9	185.75	148.05	148.14999999999998	332.75	154.95	142.7	218.7	144.05	118.35000000000001	180.0	125.35
ENSG00000000419	1024.1	924.7	1351.2	840.9	873.2	914.3	610.2	966.7	1015.7	1415.9	1272.0	1189.2	1213.2	1179.6	963.0	1223.6	1095.0	919.8	1030.5	1074.6	969.2	1248.6	1013.5	1104.8
ENSG00000000457	56.8	104.1	151.2	89.7	71.2	88.5	67.7	114.2	101.6	89.4	100.4	92.6	135.2	92.1	89.1	131.6	125.7	101.2	117.6	109.7	121.0	88.7	98.0	101.3
ENSG00000000938	377.9	144.4	252.5	220.2	282.1	530.4	916.5	260.4	308.6	241.1	257.5	250.8	296.4	486.1	462.3	1304.1	495.7	552.0	645.3	308.4	231.2	1819.8	1046.7	461.3
ENSG00000000971	928.25	2272.75	1963.65	2132.55	1277.95	1688.4	600.95	1134.5	1340.55	1220.2	1262.9	873.3	1271.8	1303.6	936.55	582.35	1265.65	780.85	963.3499999999999	875.4000000000001	1017.9	443.04999999999995	832.45	714.9
ENSG00000001036	687.6	504.4	761.2	802.3	754.0	744.9	543.4	556.6	416.4	608.3	482.8	492.4	605.8	455.1	707.7	737.5	563.8	669.8	611.4	532.5	635.4	682.7	864.0	807.9
ENSG00000001084	211.95	202.05	231.85000000000002	194.15	248.55	170.35000000000002	188.75	198.55	215.75	231.25	235.05	247.95	197.95	265.25	233.54999999999998	231.75	338.0	240.25	239.4	223.10000000000002	198.85	236.6	316.05	226.65
ENSG00000001167	97.8	120.5	67.05	85.65	91.85	68.9	122.14999999999999	153.64999999999998	133.3	86.8	85.7	125.9	119.9	100.6	112.45	112.4	89.45	140.55	162.45	92.65	159.60000000000002	133.0	92.55000000000001	135.2
ENSG00000001460	13.4	34.35	40.050000000000004	31.2	29.700000000000003	41.550000000000004	34.75	28.6	25.650000000000002	25.25	36.15	47.3	54.400000000000006	20.65	29.2	24.7	62.5	21.25	38.0	47.900000000000006	35.55	18.2	22.15	21.6
ENSG00000001461	101.35	103.8	164.6	145.85	124.25	217.9	87.45	147.4	107.9	113.1	117.15	131.15	93.05000000000001	98.94999999999999	108.2	125.55000000000001	91.45	94.15	158.75	142.2	121.5	86.2	108.30000000000001	97.30000000000001
ENSG00000001497	236.0	320.9	250.8	148.4	137.6	350.1	31.1	177.9	200.3	155.1	138.8	168.2	135.8	199.7	192.1	150.8	209.5	52.5	230.9	135.5	155.0	143.4	212.0	123.9
ENSG00000001561	211.10000000000002	223.35	248.45	234.10000000000002	285.5	265.25	308.5	168.1	199.10000000000002	106.85	111.85	172.4	123.14999999999999	200.45	165.55	334.90000000000003	181.64999999999998	181.55	307.2	214.0	266.55	226.55	422.9	302.85
ENSG00000001617	176.9	295.0	258.5	193.5	186.0	175.2	304.2	293.7	267.4	240.8	248.9	216.0	223.7	184.1	201.9	211.2	255.0	179.0	219.1	212.2	227.6	205.2	153.5	182.4
ENSG00000001626	10.4	3.5	7.1	13.6	10.5	12.4	11.6	4.3	2.8	5.2	5.3	6.5	2.3	5.9	6.0	5.5	8.2	12.8	6.9	10.8	6.3	8.5	6.9	11.1
ENSG00000001629	352.6	433.8	283.1	366.4	342.3	277.0	187.2	363.7	412.9	463.5	501.1	468.8	386.3	426.2	413.7	318.9	498.2	387.2	406.9	504.3	382.5	356.2	344.7	334.0
ENSG00000001630	245.89999999999998	249.54999999999998	170.14999999999998	224.65	198.60000000000002	154.05	205.29999999999998	186.8	145.7	205.15	181.65	217.45	178.64999999999998	175.65	119.4	167.6	139.1	175.2	178.9	181.8	210.64999999999998	168.0	139.05	189.8
ENSG00000001631	142.5	276.5	292.5	197.9	125.3	199.9	119.4	246.1	315.1	322.3	258.6	347.0	249.8	276.6	254.3	198.4	297.2	315.5	261.1	413.2	276.6	262.8	200.2	240.3
ENSG00000002330	226.3	184.55	179.95	172.8	191.85	185.1	56.9	173.10000000000002	192.8	129.15	140.05	139.14999999999998	195.9	222.05	178.7	140.5	181.6	169.3	148.8	91.6	161.45	151.75	114.5	202.7
ENSG00000002549	2229.7	808.7	1517.7	1295.1	1847.1	976.7	3141.4	2654.8	1954.8	2206.0	1682.5	3525.6	1346.2	2206.5	3807.0	5459.7	2742.7	3106.8	4118.5	1716.0	1989.6	4345.8	2891.0	3111.0
ENSG00000002586	5502.65	5732.15	4156.700000000001	5072.05	5576.7	6474.15	4451.6	5075.25	4366.65	4188.85	4654.0	2897.2	6135.0	5086.4	3815.3999999999996	5081.7	4286.05	3639.75	4733.9	3223.8	3252.5	4825.85	6359.45	5738.45
ENSG00000002746	116.15	37.15	109.30000000000001	122.0	90.0	52.2	221.75	75.25	67.8	105.9	78.9	96.55	64.95	105.8	85.9	50.85	71.5	92.45	96.80000000000001	126.6	99.85	92.89999999999999	63.650000000000006	65.15
ENSG00000002822	113.0	128.7	33.9	96.0	179.2	168.0	104.5	161.0	145.6	77.5	84.1	62.5	187.7	141.2	182.2	202.2	84.7	199.7	142.8	71.3	106.1	372.3	165.6	175.8
ENSG00000002834	1394.6	1881.3	2298.1	1244.2	1908.7	1859.9	1692.9	2068.7	1839.9	2221.1	2552.4	2021.2	2148.2	2381.3	2503.3	2371.1	1483.0	1656.9	1964.4	1170.9	1123.7	2869.1	1492.6	1809.6
ENSG00000002919	187.2	210.4	255.7	206.1	235.8	280.9	194.4	196.0	258.0	216.5	244.6	216.4	151.8	310.2	407.7	284.4	289.9	184.8	212.9	220.4	190.5	318.2	340.1	213.6
ENSG00000002933	1544.2	1094.9	2248.6	943.3	3575.1	1793.1	2344.3	1298.3	2387.1	1201.6	1073.1	2534.6	836.8	917.9	1759.6	1378.8	1207.7	2431.0	1956.8	820.4	2212.6	1332.3	1246.7	1700.7
ENSG00000003056	749.2	430.6	517.85	819.7	763.95	705.45	893.2	934.1	531.35	712.9000000000001	634.0	1111.3000000000002	728.9000000000001	547.65	915.0	1024.1	556.4	1110.1	1189.25	489.5	968.75	1202.75	969.8	960.85
ENSG00000003096	106.5	111.2	105.9	97.1	67.7	73.4	11.4	68.1	153.0	59.2	105.5	86.9	99.6	122.6	65.1	78.7	65.6	44.0	50.6	104.5	68.8	35.6	24.9	26.3
ENSG00000003147	99.14999999999999	111.4	137.4	191.05	159.14999999999998	212.7	142.65	111.75	155.85	81.25	76.9	74.2	80.25	81.5	103.9	105.55	81.65	100.0	118.44999999999999	130.05	196.25	95.55	158.1	104.35
ENSG00000003249	46.4	18.0	15.5	39.4	20.0	27.6	78.0	15.2	10.9	8.6	15.5	10.3	6.6	13.5	11.7	28.7	11.1	21.7	19.1	48.4	23.3	10.2	37.0	26.4
ENSG00000003393	124.8	144.20000000000002	167.29999999999998	100.94999999999999	97.55	100.94999999999999	90.5	102.35	116.05000000000001	110.8	118.85000000000001	118.85	110.5	100.60000000000001	131.0	87.8	133.15	113.45	108.45	123.8	103.25	105.4	83.3	109.4
ENSG00000003400	64.5	34.9	31.1	29.8	58.9	30.3	173.8	114.2	108.2	96.0	50.2	109.7	88.5	103.8	90.7	100.9	75.4	126.5	57.9	79.2	103.1	76.7	62.8	118.6
ENSG00000003402	243.6	253.39999999999998	154.55	239.65	252.54999999999998	208.85000000000002	233.45	326.15	352.75	343.6	356.95	526.05	223.0	313.4	251.85	422.6	310.65	300.0	270.1	557.85	293.79999999999995	258.6	275.9	299.2
ENSG00000003436	321.9	311.9	243.25	306.65	226.3	338.15	123.15	313.35	363.1	451.5	316.15	353.35	268.8	201.25	206.2	184.4	197.7	336.8	220.5	458.15	431.65	110.75	310.8	213.15
ENSG00000003509	71.2	131.1	98.5	76.5	88.7	131.7	57.6	50.3	58.3	52.8	75.0	85.7	75.5	97.4	71.1	58.8	98.3	55.1	68.2	76.7	89.3	105.4	72.4	74.9
ENSG00000003756	256.65	458.04999999999995	340.8	314.35	234.0	290.95000000000005	334.15	344.45	363.05	240.64999999999998	302.54999999999995	315.9	306.90000000000003	359.4	332.40000000000003	313.35	346.05	414.65	302.25	304.9	471.5	366.1	369.9	217.25
ENSG00000003989	579.8	656.7	674.2	521.4	416.2	900.4	488.8	695.9	402.4	651.4	708.7	186.3	449.0	335.2	366.5	1685.2	420.1	613.3	1161.3	318.0	358.4	13.6	564.2	652.6
ENSG00000004059	554.5	734.3	489.8	462.9	476.3	761.3	503.2	703.0	689.1	614.2	689.5	569.5	743.5	779.4	816.0	740.3	689.6	408.5	610.7	430.5	403.9	729.7	673.6	551.0
ENSG00000004139	85.30000000000001	82.55000000000001	70.35	114.5	97.6	91.6	118.94999999999999	78.55	71.6	45.849999999999994	84.9	59.849999999999994	94.6	78.19999999999999	83.35	69.69999999999999	48.95	96.6	74.95	72.85000000000001	85.9	72.35	60.05	73.2
ENSG00000004142	423.8	374.3	440.8	368.3	298.9	391.6	399.0	446.0	343.3	475.6	538.7	525.7	405.2	415.8	382.1	485.5	482.2	414.3	396.0	564.7	407.5	349.8	369.9	436.4
ENSG00000004399	516.2	699.9	545.05	494.54999999999995	818.9	785.6500000000001	554.3	1081.9	782.6500000000001	862.45	822.3	772.8	683.45	796.55	860.2	791.8	607.05	743.8000000000001	720.75	619.3	488.45	757.7	800.6	494.1
ENSG00000004455	266.9	224.9	313.1	287.5	306.9	263.6	371.1	282.3	330.3	277.5	281.3	254.3	348.1	251.1	298.8	399.1	339.3	354.0	364.1	206.4	318.2	416.1	338.7	308.3
ENSG00000004478	231.9	190.75	177.64999999999998	194.5	165.85000000000002	155.5	317.5	179.9	189.4	181.1	181.25	224.85	221.14999999999998	218.39999999999998	276.1	197.75	192.0	247.55	212.60000000000002	177.15	255.5	237.10000000000002	166.45	200.5
ENSG00000004487	313.6	447.9	458.8	451.5	457.3	348.0	229.4	370.6	318.9	319.3	239.5	293.5	392.5	279.5	370.3	272.4	304.7	401.0	354.4	253.7	371.1	350.3	326.6	308.9
ENSG00000004534	415.4	616.7	444.8	324.4	315.8	410.5	181.1	406.6	576.3	269.9	331.0	354.4	385.6	452.6	460.3	470.8	612.1	520.0	439.5	216.7	467.5	420.2	428.2	272.4
ENSG00000004660	83.5	102.8	66.9	76.1	108.8	77.75	110.9	66.95	85.65	83.45	85.60000000000001	52.1	93.65	117.45	30.4	58.9	60.4	55.45	73.75	75.64999999999999	81.5	77.0	113.05	50.5
ENSG00000004700	397.25	471.9	357.2	392.0	394.45000000000005	394.7	467.75	491.0	475.05	579.8	582.4	526.45	537.65	443.3	345.65	498.15	418.1	481.35	587.55	611.05	316.0	539.55	453.6	504.04999999999995
ENSG00000004766	145.5	147.2	144.14999999999998	150.15	201.70000000000002	154.1	205.1	212.0	178.95000000000002	140.5	128.9	162.35	167.65	170.2	161.75	178.04999999999998	205.6	207.95	206.05	168.3	199.55	172.4	166.95	232.85000000000002
ENSG00000004776	213.1	406.0	250.5	270.8	529.1	231.6	286.5	121.5	408.9	322.7	476.0	206.2	237.9	412.6	194.3	156.8	604.2	268.3	192.9	238.2	250.8	311.1	227.1	1186.1
ENSG00000004777	46.7	40.699999999999996	40.05	30.75	22.900000000000002	17.1	82.60000000000001	21.0	26.9	33.0	14.55	21.55	29.900000000000002	17.6	14.95	14.5	35.8	41.9	44.05	14.85	34.8	49.300000000000004	37.2	34.2
ENSG00000004779	1748.3	1334.2	1810.1	1355.0	1347.9	1591.5	869.7	1120.3	1487.6	1570.6	1465.4	1169.0	1592.1	1555.5	1758.9	1908.0	2276.8	1058.2	1027.9	1256.9	1220.1	1165.2	1487.2	1614.3
ENSG00000004838	14.6	37.5	18.7	38.1	45.8	27.2	88.9	39.7	21.5	24.5	46.4	34.7	30.8	51.7	23.5	36.9	23.1	68.7	41.5	34.1	64.1	12.3	19.5	22.9
ENSG00000004846	31.05	21.3	23.3	16.2	13.35	35.15	58.4	31.3	14.7	32.1	15.700000000000001	11.1	18.65	34.4	12.9	29.7	26.8	30.349999999999998	8.35	17.150000000000002	44.349999999999994	21.65	19.85	24.45
ENSG00000004848	24.0	7.5	9.4	22.4	21.4	17.8	13.9	7.1	12.6	6.3	6.0	12.9	3.2	5.9	5.6	3.3	4.1	3.5	11.5	0.9	10.1	7.2	13.3	15.0
ENSG00000004864	123.0	138.85	149.95	177.05	133.3	172.6	139.0	164.1	125.19999999999999	158.5	161.60000000000002	167.6	125.05	115.0	99.9	141.7	155.8	145.25	152.4	214.4	109.05	176.64999999999998	134.35	110.0
ENSG00000004866	193.2	143.8	190.35	124.1	92.65	108.85	292.3	156.55	136.65	160.6	171.25	161.04999999999998	171.55	143.5	174.5	126.4	143.25	137.9	173.15	132.0	158.0	131.3	135.60000000000002	115.8
ENSG00000004897	269.65	217.45000000000002	218.10000000000002	224.45	192.7	201.85	245.8	302.0	259.55	298.75	243.95000000000002	247.2	269.0	250.20000000000002	242.35	243.89999999999998	239.3	261.05	275.0	264.95	258.54999999999995	246.05	210.9	262.4
ENSG00000004948	55.6	61.5	18.8	94.4	74.4	129.4	69.9	43.8	48.2	51.1	54.2	67.6	11.9	47.5	11.9	90.0	62.8	17.5	61.0	55.2	26.2	67.6	57.1	26.7
ENSG00000004961	258.15	190.75	238.75	140.7	169.8	155.9	184.5	255.7	210.9	175.39999999999998	171.95	194.85	202.85	194.7	228.85000000000002	220.55	219.55	240.45	264.4	220.3	261.5	244.35000000000002	214.9	263.6
ENSG00000004975	178.8	179.0	200.75	199.20000000000002	166.95	178.7	170.75	125.5	161.5	120.4	102.05	144.9	163.6	131.05	149.64999999999998	107.10000000000001	139.0	159.25	136.0	115.25	182.14999999999998	156.0	140.75	119.55
ENSG00000005001	91.5	45.1	75.5	120.3	93.5	111.1	157.9	117.7	84.4	70.2	69.7	95.9	77.7	75.5	54.3	92.5	85.9	116.0	86.4	88.7	103.1	113.1	45.2	87.9
ENSG00000005007	145.7	320.8	210.6	244.3	304.0	278.7	171.5	284.0	305.9	166.5	202.0	227.4	241.8	239.3	205.6	205.0	235.4	251.4	245.6	205.5	165.1	287.0	380.9	226.8
ENSG00000005020	236.15	126.35	188.54999999999998	209.75	216.3	140.6	265.95	327.70000000000005	239.2	301.9	252.29999999999998	335.9	158.6	193.25	252.35	312.0	192.0	330.3	301.1	338.45000000000005	283.45	433.75	284.55	313.79999999999995
ENSG00000005022	2541.0	1302.4	2889.3	2033.6	2493.9	1886.8	1656.0	3087.3	1891.9	2382.8	2144.9	2649.9	2867.0	2035.5	3862.4	4167.8	2407.0	2275.7	2907.0	1769.2	2619.2	2233.4	2447.2	2978.3
ENSG00000005059	502.0	488.8	519.5	503.7	801.4	525.5	680.8	633.7	601.1	709.0	568.6	497.3	763.4	653.6	708.5	963.3	622.8	741.5	688.5	626.8	435.6	1258.5	606.5	662.5
ENSG00000005073	172.6	167.9	165.6	165.2	208.2	87.2	33.7	162.5	130.6	85.5	112.4	112.3	121.5	119.5	96.6	75.8	95.1	120.8	119.6	123.7	190.9	71.4	123.1	102.6
ENSG00000005075	1015.6	681.4	912.7	777.4	858.8	1021.4	444.6	966.9	909.3	992.9	763.7	780.8	804.1	944.6	1140.4	879.6	808.4	664.2	754.2	632.0	940.4	750.1	601.9	1195.4
ENSG00000005100	202.7	252.95	347.95	258.2	222.5	314.4	233.2	294.5	216.5	313.6	349.65	276.9	272.0	265.95	244.25	281.4	223.55	287.85	204.64999999999998	288.55	249.95	215.95	256.2	212.75
ENSG00000005102	155.7	571.0	349.7	379.3	196.5	190.0	220.6	568.7	554.2	545.7	658.8	179.7	581.3	348.3	223.1	250.8	335.4	195.9	359.6	198.5	238.7	195.1	224.2	232.3
ENSG00000005108	143.6	86.6	106.0	96.6	88.4	202.1	33.6	118.1	157.6	166.3	172.3	107.9	110.4	80.3	58.1	56.9	101.7	60.5	41.7	139.5	78.9	55.9	43.9	107.4
ENSG00000005156	83.2	126.5	119.6	126.5	101.9	111.6	98.4	74.0	78.9	90.5	131.4	99.3	117.8	97.6	96.4	107.1	139.9	103.0	91.3	147.4	84.3	91.6	97.9	73.2
ENSG00000005175	183.5	156.3	135.3	125.8	150.6	96.4	107.1	188.4	168.2	192.9	166.1	180.6	171.4	136.0	202.9	166.8	133.5	164.0	230.2	182.4	162.5	143.7	142.0	185.5
ENSG00000005189	31.7	35.2	43.9	66.3	50.7	17.7	13.5	14.5	16.3	20.6	17.0	10.1	38.2	6.6	18.9	10.6	26.3	45.3	5.2	10.1	9.7	10.9	73.7	18.7
ENSG00000005194	124.9	121.7	210.8	121.8	131.7	122.4	104.0	136.8	124.8	122.9	99.2	134.7	126.4	120.2	163.2	170.7	128.3	139.0	105.9	138.0	118.9	98.5	128.6	120.7
ENSG00000005238	235.3	288.45	248.55	235.60000000000002	311.9	343.25	415.9	291.1	199.9	309.05	287.54999999999995	208.75	305.05	244.25	256.55	412.7	196.2	277.25	388.15	182.2	283.6	528.0	387.9	299.3
ENSG00000005243	695.5	689.2	791.3	766.6999999999999	841.15	809.6	200.45	391.70000000000005	326.7	519.85	584.9	259.65	507.55	605.25	390.0	322.5	273.35	300.6	357.9	271.45	273.59999999999997	185.35	547.4	411.20000000000005
ENSG00000005302	117.1	77.4	170.4	133.0	56.4	74.4	147.1	82.4	71.1	75.0	69.7	87.0	88.7	95.5	94.0	98.7	68.6	121.8	90.6	91.2	120.1	98.5	98.9	80.0
ENSG00000005339	134.55	347.25	250.54999999999998	231.8	215.1	224.89999999999998	185.5	193.60000000000002	312.04999999999995	301.95	278.25	241.89999999999998	200.70000000000002	262.85	220.9	237.10000000000002	267.75	214.2	184.25	235.55	206.6	223.75	226.75	202.25
ENSG00000005379	73.6	90.5	62.0	93.1	140.7	44.9	33.3	59.7	60.3	56.6	57.8	82.9	36.9	48.5	68.8	36.7	8.8	62.6	53.9	34.4	87.5	29.7	98.7	112.4
ENSG00000005381	83.0	35.4	47.9	81.1	26.9	58.5	144.0	63.6	39.8	40.2	66.8	42.0	63.0	67.6	37.5	65.0	52.4	65.8	76.4	55.3	99.2	95.5	46.8	80.8
ENSG00000005421	72.9	13.3	77.8	72.4	80.4	27.5	132.9	55.4	41.7	48.1	21.6	64.0	41.6	48.7	9.2	10.8	46.4	50.9	8.0	64.5	42.2	49.4	61.4	83.4
ENSG00000005436	108.85	83.45	80.35	89.55	74.9	96.35	64.4	57.2	82.7	99.8	84.80000000000001	83.4	93.55	112.45	107.75	107.0	112.15	97.64999999999999	61.7	103.3	76.80000000000001	84.7	49.15	104.30000000000001
ENSG00000005448	222.3	209.1	300.0	262.6	166.3	203.6	249.3	243.8	200.4	226.8	224.4	234.0	245.3	180.3	280.6	198.1	186.9	244.5	221.9	199.6	262.2	343.2	185.8	208.4
ENSG00000005469	123.85	186.3	189.75	228.85	143.35	188.45	125.5	172.9	128.6	133.7	153.65	159.55	126.15	150.9	128.2	89.2	138.35	124.75	117.15	125.3	110.5	109.55	139.05	114.44999999999999
ENSG00000005483	474.1	757.5	459.9	415.2	391.7	458.4	400.3	493.0	702.1	802.7	967.5	661.1	561.9	504.2	419.4	556.6	619.2	335.8	397.3	843.7	465.4	557.4	567.7	251.6
ENSG00000005486	376.29999999999995	387.9	382.75	443.0	392.0	383.54999999999995	457.75	335.65	333.70000000000005	322.0	350.15	336.4	403.45	322.3	283.25	391.5	318.8	404.4	546.3	308.29999999999995	376.65	654.35	538.75	410.25
ENSG00000005700	380.0	492.3	525.4	324.6	268.6	451.8	264.4	369.5	429.4	488.9	387.1	316.3	513.5	376.8	452.0	479.6	410.6	397.9	428.6	353.4	309.4	421.8	323.6	376.9
ENSG00000005801	211.2	148.8	125.7	175.6	183.2	139.0	160.5	209.9	193.1	175.7	130.6	202.7	175.3	186.9	258.4	211.0	224.7	211.4	132.9	206.3	204.5	166.4	143.9	155.5
ENSG00000005810	548.1	758.3	770.5	567.2	467.0	550.4	362.4	781.8	706.8	1075.0	854.5	868.2	519.2	775.0	844.8	586.2	1074.1	737.5	532.8	1133.5	618.0	483.3	675.1	521.1
ENSG00000005812	900.0	1029.3	1155.8	804.6	717.5	844.8	516.7	582.6	995.6	885.3	927.7	769.9	536.8	1063.7	963.0	742.4	602.8	587.5	563.2	632.3	719.8	697.6	679.2	781.4
ENSG00000005844	137.55	108.35	81.44999999999999	84.7	93.2	78.75	253.64999999999998	142.0	188.6	202.1	90.35	268.35	112.75	83.45	263.65	195.25	143.5	284.6	264.8	136.7	252.2	459.15	191.85000000000002	212.8
ENSG00000005882	96.6	177.3	162.7	202.2	184.2	268.0	25.2	218.7	184.5	159.2	156.6	185.2	144.3	126.4	153.2	90.5	179.4	121.0	147.9	116.8	145.0	38.6	163.4	215.9
ENSG00000005889	141.15	197.5	186.7	175.1	164.7	142.55	128.75	131.95	193.35	283.4	238.6	195.3	123.0	270.45	175.9	108.25	190.4	172.7	167.4	247.8	226.5	170.6	144.9	122.10000000000001
ENSG00000005893	764.05	392.9	591.4000000000001	584.7	744.15	605.45	689.55	710.7	563.8	700.7	777.7	782.9	781.15	683.85	916.45	818.5	622.25	589.3	848.05	743.4	564.5	933.6500000000001	928.4000000000001	677.4
ENSG00000005961	98.0	65.4	38.4	27.6	48.4	48.3	149.2	61.6	331.3	123.2	75.2	40.8	59.7	53.3	8.3	75.0	57.9	106.2	70.1	29.2	100.5	75.4	51.1	59.7
ENSG00000005981	48.1	18.9	37.6	14.0	13.0	25.6	25.1	39.6	20.2	36.8	20.5	29.3	13.2	38.3	32.9	25.0	48.1	57.6	19.3	69.3	61.3	70.3	10.3	104.8
ENSG00000006007	495.6	401.25	398.20000000000005	488.05	794.45	513.35	291.4	832.15	543.5	536.1	600.9	583.95	644.8499999999999	554.7	671.45	588.75	605.7	484.25	694.7	504.8	535.35	426.35	868.2	943.9000000000001
ENSG00000006015	505.85	490.59999999999997	554.5	324.6	479.35	523.9	304.4	458.25	380.35	288.65	309.79999999999995	342.90000000000003	363.85	395.2	641.2	398.04999999999995	481.15	523.6999999999999	404.75	264.05	512.35	466.15	356.15	490.2
ENSG00000006025	14.7	3.5	5.1	11.4	13.2	8.6	12.2	7.3	6.3	4.9	3.9	3.5	4.7	3.4	3.9	3.9	3.5	6.4	5.2	3.5	7.3	6.1	8.4	6.3
ENSG00000006042	488.0	840.5	1028.7	1096.0	620.6	285.2	20.5	296.2	728.3	417.2	418.9	330.1	751.1	703.5	530.1	125.0	192.8	204.3	531.9	283.7	197.1	104.3	288.3	211.0
ENSG00000006062	171.8	215.2	137.7	160.2	122.0	140.6	187.7	185.6	96.3	82.2	143.5	126.2	129.7	150.7	212.8	191.2	131.5	183.2	170.5	128.9	204.4	201.6	147.4	93.4
ENSG00000006118	70.6	27.7	57.1	33.7	65.4	41.9	28.0	71.9	62.9	17.0	67.4	16.4	41.8	42.1	22.1	11.4	15.9	51.6	23.0	26.3	57.2	13.3	13.9	74.2
ENSG00000006125	323.15	399.29999999999995	738.8	316.75	486.8	582.45	293.29999999999995	349.5	385.45000000000005	386.45000000000005	340.05	407.9	391.35	394.4	362.0	322.3	379.15	379.35	417.2	233.35	356.6	282.29999999999995	331.5	320.65
ENSG00000006194	38.9	38.3	20.3	44.6	29.3	18.9	42.9	40.8	17.3	26.6	21.8	11.9	25.8	32.1	18.8	35.3	18.2	10.5	14.0	20.4	26.2	25.7	52.1	17.5
ENSG00000006210	146.6	169.4	188.1	251.8	243.6	110.7	98.7	103.5	299.9	111.4	86.0	127.8	100.6	106.8	119.5	75.3	168.6	105.1	136.1	107.6	156.8	88.8	139.5	79.7
ENSG00000006282	446.5	479.5	506.4	256.0	569.3	606.9	211.8	515.9	420.5	340.9	438.4	373.4	360.1	334.2	459.4	257.5	258.6	258.3	452.5	300.1	410.7	300.3	411.3	248.5
ENSG00000006283	15.9	23.1	43.1	18.2	17.3	28.5	97.6	75.8	15.2	32.0	28.5	21.9	44.9	20.2	34.3	36.5	31.6	15.3	46.7	26.0	35.8	73.0	13.8	64.2
ENSG00000006377	37.4	35.7	32.2	45.8	6.7	21.7	60.3	19.6	17.1	9.9	7.3	3.0	19.8	17.0	10.9	20.6	24.9	17.6	20.7	6.7	23.8	28.5	17.8	25.8
ENSG00000006432	140.8	82.0	103.8	110.1	28.2	47.3	151.0	80.1	58.7	75.7	121.1	95.8	48.6	84.9	91.3	31.8	59.7	158.0	73.7	79.8	104.7	125.4	70.4	19.8
ENSG00000006451	556.0	540.45	499.2	553.45	490.25	549.15	772.0999999999999	659.0	615.05	865.25	766.4	666.4	689.25	677.5	555.85	734.3	608.55	476.3	969.45	464.9	406.1	1294.5500000000002	620.85	612.15
ENSG00000006453	156.65	106.75	109.2	121.35000000000001	130.8	59.8	129.75	118.9	95.7	106.45	123.25	87.6	97.69999999999999	109.0	86.2	111.3	121.39999999999999	106.95	103.9	93.3	114.14999999999999	110.05	175.29999999999998	88.2
ENSG00000006459	253.65	219.35	145.65	234.5	159.05	172.39999999999998	381.4	251.75	223.7	236.10000000000002	263.45	281.0	201.35	184.95000000000002	242.05	324.45	205.15	206.60000000000002	311.5	202.39999999999998	261.85	411.40000000000003	270.05	239.15
ENSG00000006468	59.3	64.4	87.0	86.6	70.4	73.4	153.2	95.5	92.6	70.5	60.0	53.6	63.5	63.9	47.3	59.0	63.4	103.0	57.9	95.2	53.2	83.0	65.0	44.9
