id_sonda	FNB4	FNB36	FNB37	FNB39	FNB40	FNB41	FNB43	FNB44A	FNB44B	FNB45	FNB6	FNB7	FNB8	FNB12	FNB29	FNB32	FNB33	FNB35	Media	Error estándar %
AFFX-DapX-3_at	5.2	20.6	21.7	13.4	6.5	3.1	2.3	1.6	1.0	1.2	8.9	7.3	2.2	3.3	2.5	1.8	6.4	3.6	6.2555555555555555	23.00956622862807
AFFX-ThrX-5_at	41.9	3.9	4.9	1.9	1.4	2.9	3.5	3.5	2.8	3.7	17.1	6.7	7.0	4.5	3.3	5.3	10.8	5.8	7.272222222222222	29.57467912875707
AFFX-TrpnX-5_at	35.5	22.4	7.1	2.6	9.2	2.8	11.0	4.3	6.5	13.8	11.6	41.7	8.2	1.5	9.4	4.9	4.9	9.7	11.505555555555555	21.99233431313444
AFFX-TrpnX-3_at	39.3	2.4	14.8	0.5	1.8	1.7	12.4	1.1	0.5	2.8	1.3	2.6	2.5	1.0	3.0	5.2	6.3	4.3	5.749999999999999	36.83586758514147
AFFX-r2-Bs-dap-5_at	10.7	2.0	1.2	1.6	1.0	0.6	1.3	3.8	1.6	2.8	1.9	5.9	2.1	1.1	2.3	1.1	7.5	5.0	2.9722222222222228	20.74312580764656
AFFX-r2-Bs-dap-M_at	4.9	0.8	1.2	8.5	2.3	0.9	0.8	0.8	6.1	0.4	10.6	6.1	1.3	0.8	14.6	7.0	3.2	2.8	4.061111111111111	22.82381318236481
AFFX-r2-Bs-dap-3_at	2.1	14.2	5.0	1.6	0.6	0.7	1.2	0.7	0.8	7.7	2.8	1.1	0.7	8.0	20.9	9.5	2.6	1.7	4.55	28.21345198521354
AFFX-r2-Bs-lys-5_at	21.8	2.6	0.6	8.0	6.7	1.7	6.2	3.9	1.8	0.4	6.8	14.0	20.0	9.1	0.8	2.3	9.8	28.0	8.027777777777779	22.975321118462205
AFFX-r2-Bs-lys-M_at	11.6	1.6	5.4	1.1	0.5	1.3	0.9	2.2	18.0	0.4	6.3	2.5	2.4	2.4	27.2	2.0	13.1	21.0	6.6611111111111105	27.843094265201685
AFFX-r2-Bs-phe-5_at	43.8	14.7	5.3	0.8	5.3	8.7	7.6	2.8	6.1	4.6	0.9	11.6	4.8	6.0	17.1	16.4	30.9	24.3	11.761111111111111	22.16734657117633
AFFX-r2-Bs-phe-M_at	43.2	5.1	18.0	10.4	1.0	5.1	2.5	16.9	16.8	14.8	1.3	2.7	3.5	2.3	23.7	5.5	11.8	4.8	10.522222222222224	23.209593859276616
AFFX-r2-Bs-thr-3_s_at	44.1	5.9	4.7	7.9	7.1	6.4	5.0	16.5	5.8	5.3	6.4	9.8	6.4	5.6	9.2	26.1	9.4	6.1	10.427777777777777	21.692869484998397
AFFX-HUMRGE/M10098_5_at	8.6	37.0	140.6	96.2	80.0	71.8	100.1	56.8	30.1	56.8	412.6	138.8	43.6	63.0	130.1	37.1	71.5	63.3	90.99999999999997	22.275930012878703
AFFX-M27830_3_at	208.6	34.5	21.9	25.8	54.8	28.6	24.9	29.0	24.3	22.0	22.2	20.2	36.3	36.4	36.1	30.3	48.5	13.2	39.86666666666667	24.885005888217034
200635_s_at	24.8	120.7	281.1	114.1	194.9	66.7	144.2	271.7	43.5	93.8	655.8	120.1	97.0	237.9	90.2	84.3	33.0	30.7	150.25	22.684516568869693
200636_s_at	44.2	244.6	510.4	379.5	401.4	182.8	250.9	855.2	112.3	234.1	1399.5	180.6	160.2	545.2	269.1	109.1	38.7	95.9	334.09444444444443	23.056833397330806
200831_s_at	242.9	279.1	1658.0	2620.2	2221.0	217.1	178.8	1546.6	209.4	518.6	3953.8	492.9	370.9	867.2	324.0	353.9	497.0	292.5	935.7722222222224	25.90123858765952
200832_s_at	518.7	462.2	2117.6	2616.9	2560.5	354.2	163.2	2285.3	281.4	809.8	6804.5	577.1	633.9	1653.3	493.0	782.0	878.7	463.8	1358.6722222222224	26.770774213362092
200865_at	19.8	11.7	2.7	1.6	0.7	1.3	6.8	10.7	1.4	14.6	3.9	2.6	14.1	1.1	0.9	17.8	8.2	35.4	8.627777777777776	24.409017351846487
200938_s_at	69.7	34.3	6.6	3.1	8.5	6.1	13.1	26.7	3.8	12.3	4.8	52.6	47.4	3.5	65.7	71.2	32.7	13.5	26.42222222222222	21.408745515295998
201036_s_at	83.3	285.5	555.8	499.0	415.5	244.2	233.6	770.5	292.6	404.0	1919.7	220.5	195.9	415.0	241.2	217.7	229.9	353.8	420.9833333333333	22.136086167972834
201062_at	10.0	22.4	0.8	0.9	0.9	17.4	0.9	3.5	4.0	1.6	13.1	6.1	25.7	2.4	1.5	3.3	4.4	10.6	7.194444444444445	24.74237129463266
201107_s_at	20.1	15.1	25.1	6.5	4.8	4.8	8.2	5.5	2.7	4.2	10.8	10.1	8.6	3.3	4.5	17.8	14.3	56.1	12.361111111111112	23.417079379620255
201123_s_at	621.3	162.1	90.3	1880.9	1914.3	336.1	2506.6	204.0	36.9	938.1	625.9	1227.3	508.8	252.6	551.8	1131.9	145.5	1647.5	821.2166666666666	20.679818204177845
201130_s_at	56.5	30.8	11.2	25.1	4.3	5.7	3.1	4.6	4.7	5.9	6.0	13.6	3.5	9.3	22.4	4.0	22.5	3.6	13.155555555555555	24.172322545278437
201131_s_at	42.8	3.2	12.9	2.3	3.3	14.8	3.6	3.4	2.2	7.5	2.1	4.0	11.5	13.4	63.9	3.0	4.6	11.9	11.68888888888889	31.731035343442134
201286_at	274.0	69.2	178.1	85.2	112.2	254.2	287.6	136.0	988.6	13.4	7.8	531.2	172.0	144.9	393.3	204.3	261.6	216.9	240.58333333333334	21.633179345234137
201287_s_at	518.7	153.9	536.7	218.8	178.5	772.6	498.3	266.0	1846.1	72.9	102.5	1728.2	408.2	250.2	1344.0	295.2	586.7	871.8	591.6277777777777	20.815126696993502
201313_at	87.0	107.3	127.5	94.3	130.4	78.7	444.1	98.1	139.3	123.0	35.6	154.5	215.6	22.3	112.7	927.5	171.1	90.3	175.51666666666665	27.16975576406765
201374_x_at	33.2	18.8	5.7	1.3	22.5	2.1	32.9	2.2	14.7	3.4	3.9	65.0	43.8	11.6	55.0	4.6	9.2	9.6	18.861111111111114	23.61600089830615
201467_s_at	9.1	31.5	54.7	4.4	44.2	4.1	13.9	32.5	45.4	3.0	87.5	14.1	14.8	8.0	72.6	6.9	12.1	12.1	26.161111111111115	22.07577218721189
201481_s_at	22.1	195.5	78.5	25.1	31.6	33.8	33.1	50.3	67.0	90.4	72.0	32.5	60.3	29.9	17.9	57.2	372.1	68.6	74.32777777777778	26.10830730062829
201495_x_at	11.4	3.8	181.2	6.2	6.6	2.9	12.0	8.0	7.9	3.6	7.2	13.9	6.1	4.7	16.6	13.4	7.3	9.9	17.927777777777774	52.293641482042815
201497_x_at	41.6	116.1	2820.0	38.8	381.0	188.6	347.4	771.7	858.4	275.3	142.5	149.0	67.5	203.7	212.1	12.4	68.6	65.8	375.5833333333333	39.916766699557385
