id_sonda	RA271	RA273	RA281	RA282	RA288	RA289	Media	Error estándar %
AFFX-LysX-5_at	31.0	1.6	8.7	15.0	11.0	22.5	14.966666666666667	26.056320106028718
AFFX-LysX-M_at	26.6	11.7	16.7	31.7	52.5	10.9	25.016666666666666	23.5383905028465
AFFX-LysX-3_at	6.1	18.6	16.0	31.4	11.6	37.0	20.116666666666664	21.929583291950326
AFFX-PheX-M_at	5.2	3.7	2.0	12.9	6.6	3.8	5.699999999999999	25.186965458898285
AFFX-ThrX-5_at	5.2	30.4	14.2	14.9	14.0	11.8	15.083333333333334	20.525388580151354
AFFX-ThrX-M_at	6.9	2.4	4.8	18.2	15.2	11.7	9.866666666666667	23.373967844124873
AFFX-ThrX-3_at	4.2	2.9	4.2	25.1	19.0	10.2	10.933333333333335	31.29693580146743
AFFX-TrpnX-5_at	8.3	21.6	2.5	41.6	10.2	7.5	15.283333333333333	35.01663334342176
AFFX-TrpnX-M_at	2.0	4.9	4.2	31.1	60.0	7.5	18.283333333333335	47.04504411739636
AFFX-TrpnX-3_at	7.6	5.8	4.5	35.9	20.5	5.7	13.333333333333334	35.056502012227824
AFFX-r2-Bs-dap-5_at	4.2	3.5	2.8	14.6	35.8	25.7	14.433333333333332	35.46169134378984
AFFX-r2-Bs-dap-M_at	14.1	18.2	1.2	11.7	4.8	21.0	11.833333333333334	24.078054210653793
AFFX-r2-Bs-dap-3_at	7.6	0.9	10.1	5.3	5.0	4.4	5.550000000000001	20.851958506167044
AFFX-r2-Bs-lys-5_at	33.2	9.8	15.7	4.8	5.1	3.0	11.933333333333332	35.563643501400456
AFFX-r2-Bs-lys-M_at	12.7	2.8	7.4	20.0	6.9	6.7	9.416666666666666	24.030962180943735
AFFX-r2-Bs-lys-3_at	7.6	13.3	21.5	8.5	22.9	48.4	20.366666666666664	27.71850573939303
AFFX-r2-Bs-phe-5_at	11.1	6.2	3.9	41.6	53.9	42.4	26.516666666666666	30.737817904455518
AFFX-r2-Bs-phe-M_at	3.8	1.8	7.3	12.4	29.3	6.5	10.183333333333332	36.716273143020075
AFFX-r2-Bs-phe-3_at	48.5	11.6	26.9	45.1	51.2	86.0	44.88333333333333	20.922859293974483
AFFX-r2-Bs-thr-M_s_at	46.7	24.6	33.8	93.8	18.9	88.1	50.98333333333333	23.68634429427842
AFFX-HUMISGF3A/M97935_MA_at	208.8	94.2	20.2	246.0	201.0	82.6	142.13333333333335	23.277838701597247
AFFX-HUMRGE/M10098_5_at	75.1	139.1	44.4	160.2	41.6	11.4	78.63333333333333	27.947056469192244
AFFX-M27830_5_at	215.5	423.1	63.2	311.3	50.5	107.2	195.13333333333335	28.57601980834884
AFFX-M27830_M_at	1399.1	1581.9	271.5	984.6	273.4	615.8	854.3833333333333	24.498257821699244
1255_g_at	55.9	18.4	19.1	74.1	19.9	42.6	38.333333333333336	22.646679352529418
1316_at	135.7	157.2	104.6	45.5	19.6	101.5	94.01666666666667	20.8168863656984
1320_at	7.9	51.2	9.5	28.6	21.8	21.9	23.48333333333333	24.97286274650087
1438_at	120.8	103.5	15.6	71.8	53.8	23.6	64.85000000000001	24.27526142787472
200604_s_at	504.7	573.6	232.9	728.0	667.9	74.9	463.6666666666667	20.64106608569222
200637_s_at	57.5	204.8	5.9	107.4	98.3	86.4	93.38333333333334	26.24506655285272
200648_s_at	2373.6	617.1	342.3	1500.5	2295.9	1136.4	1377.6333333333332	22.822626409379527
200670_at	3701.6	849.1	1650.4	1404.4	933.8	1315.7	1642.5	23.873132862413534
200671_s_at	22.0	436.8	57.0	303.2	351.3	174.6	224.14999999999998	27.71107059020299
200672_x_at	224.1	1176.4	474.8	524.7	512.9	467.3	563.3666666666667	21.16917150509528
200730_s_at	299.0	158.6	50.4	200.1	74.4	91.3	145.63333333333333	23.937885748229746
200766_at	2516.9	667.4	437.6	1351.3	1020.6	1786.0	1296.6333333333334	22.04562193264006
200784_s_at	290.3	830.5	330.9	784.9	1770.6	1392.0	899.8666666666667	24.245849331512577
200785_s_at	725.1	1355.4	1319.5	1601.8	3972.8	4111.5	2181.016666666667	25.132111501151655
200796_s_at	295.1	104.9	3.8	192.1	170.5	16.4	130.46666666666667	31.86368093297452
200798_x_at	2297.0	624.8	441.2	738.9	679.4	390.9	862.0333333333332	30.952690459353168
200835_s_at	6.6	18.3	6.3	17.6	16.4	33.5	16.45	22.55290474096542
200865_at	3.3	14.4	20.8	68.3	15.5	10.6	22.150000000000002	39.2763189911739
200879_s_at	81.3	178.4	32.3	199.4	111.1	25.7	104.7	25.899282581358197
200907_s_at	460.6	2016.9	1129.4	742.7	894.4	766.4	1001.7333333333332	20.19758223137775
200917_s_at	150.3	206.2	47.1	160.0	87.9	47.3	116.46666666666665	20.984761447418254
200930_s_at	40.1	16.0	2.7	40.9	50.7	5.2	25.933333333333334	29.495937537878824
200938_s_at	8.3	19.3	7.5	92.9	48.0	50.9	37.81666666666667	32.51282314155783
200939_s_at	5.9	10.8	7.6	17.8	15.3	29.4	14.466666666666669	22.12441548435567
200952_s_at	105.5	198.1	10.8	151.6	68.2	164.9	116.51666666666667	22.094869605636173
200965_s_at	351.7	2041.4	1934.9	744.0	1485.8	894.4	1242.0333333333333	20.527135543920302
201037_at	473.7	1900.6	1160.7	673.1	792.3	702.9	950.5500000000001	20.27776263569832
201041_s_at	20428.4	4229.5	2281.1	1995.8	2144.8	2521.7	5600.216666666666	48.6458070138412
201042_at	567.0	100.8	207.3	189.5	499.7	126.6	281.81666666666666	26.430864482179146
201044_x_at	1139.1	179.0	36.8	63.0	80.4	11.3	251.6	64.96142738921112
201045_s_at	53.3	60.1	10.2	27.0	48.7	10.8	35.01666666666667	23.401105737643395
201062_at	26.2	3.1	4.8	9.7	11.9	21.1	12.799999999999999	26.5880187877088
201107_s_at	4.0	12.7	6.1	24.2	25.1	7.9	13.333333333333334	25.79647908791689
201109_s_at	265.4	373.2	301.1	144.3	57.8	30.7	195.41666666666666	26.474477963321508
201110_s_at	283.9	572.3	556.1	150.4	116.9	137.9	302.9166666666667	25.931291822222725
201116_s_at	277.2	486.2	400.9	1049.4	399.1	196.7	468.24999999999994	24.07803173960394
201117_s_at	228.8	765.9	363.8	913.1	419.7	301.9	498.8666666666666	20.571363998765435
201123_s_at	316.3	833.3	1263.7	1469.6	235.5	319.8	739.6999999999999	26.905215475599242
201130_s_at	4.1	4.4	4.1	52.4	22.3	53.6	23.483333333333334	37.9565142770249
201137_s_at	5495.7	1269.6	2649.5	4611.8	4095.9	14995.4	5519.650000000001	32.931042022117
201149_s_at	1257.4	3624.4	2947.2	3124.8	5599.5	8975.3	4254.766666666666	23.652690095342674
201159_s_at	97.7	156.9	11.4	16.4	15.1	11.1	51.43333333333334	44.71422270693686
201169_s_at	202.2	313.1	64.6	202.9	84.0	51.4	153.03333333333333	25.176715864378046
201181_at	73.0	120.8	155.0	42.9	30.8	113.9	89.39999999999999	20.212393498967625
201187_s_at	107.1	58.4	16.6	19.8	67.0	8.7	46.26666666666666	30.714029101214297
201203_s_at	74.2	374.7	16.0	255.4	296.1	100.5	186.15	28.49015670801175
201211_s_at	171.0	246.9	12.4	245.7	187.8	9.0	145.46666666666667	27.855663881806304
201235_s_at	329.3	56.5	30.9	159.0	121.1	65.8	127.10000000000001	32.102823903641834
201249_at	63.4	8.9	53.6	20.2	44.8	15.9	34.46666666666666	24.235489237419902
201262_s_at	542.3	2055.2	132.8	1299.9	1164.5	517.0	951.9500000000002	27.18754639941357
201283_s_at	5.0	83.8	3.4	71.4	19.7	44.2	37.916666666666664	33.68492591932952
201286_at	335.8	523.8	162.4	245.0	270.5	19.3	259.46666666666664	24.30162722922069
201287_s_at	931.8	448.3	321.8	329.9	314.3	82.9	404.8333333333333	26.165292912327725
201289_at	1173.0	699.6	755.7	278.4	310.3	266.9	580.6500000000001	23.293235050240632
201291_s_at	37.7	2.8	3.3	45.3	49.6	25.5	27.366666666666664	27.967665293597655
201332_s_at	108.4	174.4	11.5	177.1	219.6	117.5	134.75	20.22844539489029
201333_s_at	22.2	250.2	59.1	151.9	191.6	205.5	146.75	22.539570192801943
201340_s_at	84.3	95.3	27.8	15.9	24.5	65.3	52.18333333333334	24.19756586189483
201367_s_at	292.5	454.0	10.5	276.4	244.6	318.3	266.05	20.263255957032218
201372_s_at	19.5	8.1	51.1	11.2	25.8	60.0	29.28333333333333	27.313770152307182
201374_x_at	10.7	40.0	2.3	8.2	16.2	9.6	14.5	34.09978905634768
201411_s_at	380.6	122.6	192.8	189.4	474.8	816.7	362.81666666666666	26.609696098750398
201418_s_at	146.8	282.0	82.6	149.3	95.4	63.3	136.56666666666666	21.623159867355284
201422_at	13798.0	1450.3	4503.8	4816.6	8754.8	10095.6	7236.516666666666	23.070073174989307
201430_s_at	172.0	431.8	92.0	231.4	132.7	113.1	195.49999999999997	23.980473365219172
201440_at	39.6	197.5	353.3	52.9	235.4	208.8	181.25	24.34523959578856
201452_at	14.9	51.2	36.2	19.7	14.6	8.5	24.183333333333337	25.02385778245733
201464_x_at	6508.9	975.8	547.8	735.5	724.9	483.7	1662.7666666666667	53.35048970826024
201465_s_at	1289.4	219.3	14.0	136.9	152.6	175.8	331.3333333333333	53.35512375026331
201466_s_at	1324.8	265.6	185.6	163.8	151.2	130.3	370.2166666666667	47.310190216202585
201467_s_at	22.3	16.6	5.2	10.4	34.0	18.7	17.866666666666667	20.82613858092461
201473_at	4704.7	787.2	510.3	685.5	878.0	1233.7	1466.5666666666666	40.77305461289704
201481_s_at	25.3	169.9	19.9	30.1	119.6	106.6	78.56666666666666	29.5769315272185
201487_at	1699.6	290.4	1380.6	726.5	2900.4	843.6	1306.8500000000001	26.39556952010016
201490_s_at	229.9	82.9	104.4	209.7	356.2	42.4	170.9166666666667	25.428578053613883
201521_s_at	218.8	175.3	31.8	205.3	210.5	63.0	150.78333333333333	20.2697641250622
201525_at	236.3	655.8	796.7	303.3	1569.5	1134.8	782.7333333333332	24.162574623313695
201531_at	5285.0	982.5	801.0	570.1	879.8	791.4	1551.6333333333332	44.05023931621038
201539_s_at	270.8	2014.6	450.6	1281.9	1380.1	215.3	935.5500000000001	29.151953126083736
201547_at	57.2	20.8	23.9	66.9	11.5	18.1	33.06666666666667	25.950238394770174
201551_s_at	365.2	1104.9	35.8	476.2	302.7	212.1	416.15000000000003	33.01977154254859
201559_s_at	346.3	485.7	237.7	746.5	554.4	108.1	413.1166666666666	20.754266750718337
201562_s_at	29.1	130.9	168.5	104.8	36.1	60.3	88.28333333333335	23.528330081806068
201596_x_at	154.2	103.5	230.1	166.2	72.1	21.4	124.58333333333333	22.220517651926105
201610_at	5.8	5.6	6.6	12.0	20.4	33.6	14.0	29.682751887875696
201638_s_at	3.7	12.0	13.9	14.8	16.0	48.5	18.150000000000002	31.8318602278259
201641_at	588.6	335.4	78.6	922.3	391.4	465.7	463.6666666666667	22.61726555366374
201650_at	4.9	2.1	2.7	10.2	8.8	5.5	5.7	21.186223313142456
201654_s_at	33.5	540.8	80.4	163.3	145.7	205.3	194.83333333333334	34.46598593886936
201656_at	329.3	556.7	896.0	436.5	198.8	295.6	452.15000000000003	20.588226540312775
201679_at	17.5	73.3	8.1	14.6	47.7	15.5	29.45	32.360340846607755
201688_s_at	239.1	36.7	91.1	88.5	55.9	33.6	90.81666666666666	31.475097884792643
201689_s_at	241.7	55.9	89.3	131.1	47.9	44.5	101.73333333333333	27.841931298698945
201690_s_at	550.1	129.4	267.4	212.7	115.4	93.4	228.0666666666667	27.92812304991704
201691_s_at	33.6	6.8	7.2	8.4	14.8	26.1	16.150000000000002	25.96264393267336
201693_s_at	827.3	471.1	147.6	189.3	203.3	461.9	383.4166666666667	25.2198987686893
201694_s_at	3126.8	1348.2	940.5	642.2	686.3	833.6	1262.9333333333334	27.955324277925612
201702_s_at	6.9	31.9	10.4	12.0	64.9	191.6	52.949999999999996	50.182374705605305
201710_at	21.2	78.8	95.4	62.6	18.4	14.9	48.54999999999999	26.80457260960961
201720_s_at	3714.4	649.3	1079.9	2792.5	3720.0	2542.7	2416.4666666666667	20.049704423320996
201727_s_at	121.0	127.0	81.7	61.9	298.9	73.0	127.25	25.79635361774451
201739_at	3650.3	1182.0	1035.7	902.9	911.7	1210.8	1482.2333333333333	26.903852913829034
201747_s_at	74.9	94.0	26.5	59.7	59.7	13.6	54.73333333333334	20.397342848489437
201759_at	15.6	66.8	13.2	14.9	18.9	38.2	27.933333333333337	28.218067348226363
201789_at	38.1	3.3	18.3	5.9	49.4	21.6	22.766666666666666	29.548511807524385
201791_s_at	49.4	103.5	103.6	63.4	39.5	16.2	62.599999999999994	20.98959539000301
201796_s_at	89.6	87.8	42.0	21.8	72.6	19.1	55.48333333333333	21.539085162738075
201820_at	12.1	8.3	31.5	23.1	29.8	46.2	25.166666666666668	20.55620320410751
201822_at	59.3	31.6	36.7	47.8	34.1	116.1	54.26666666666667	21.975182369136263
201839_s_at	67.2	5.4	65.0	19.6	62.7	41.6	43.58333333333334	22.360208351689995
201858_s_at	6796.4	461.8	1517.9	1706.5	2688.9	1481.1	2442.1	34.301435992480464
201868_s_at	55.7	88.4	43.9	23.0	41.8	109.8	60.43333333333334	20.008104103330034
201869_s_at	29.0	41.8	113.1	20.0	108.9	44.5	59.54999999999999	25.56257205004994
