id_gen	symbol	log2FC_CRC_vs_Normal	adj-p-value_CRC_vs_Normal	vias_reactome	BP	MF	CC
ENSG00000125845	BMP2	-3.2877590978968834	9.94149357810229e-37	Regulation of RUNX2 expression and activity, Generic Transcription Pathway, Gene expression (Transcription), Signaling by TGFB family members, Signal Transduction, Extracellular matrix organization, Molecules associated with elastic fibres, Signaling by BMP, RNA Polymerase II Transcription, Elastic fibre formation, Transcriptional regulation by RUNX2	proteoglycan metabolic process, BMP signaling pathway, negative regulation of steroid biosynthetic process, positive regulation of Wnt signaling pathway, osteoclast differentiation, positive regulation of transcription by RNA polymerase II, positive regulation of epithelial to mesenchymal transition, endocardial cushion morphogenesis, bone development, mesenchymal cell differentiation, pericardium development, cell fate commitment, astrocyte differentiation, atrioventricular valve morphogenesis, response to bacterium, negative regulation of cortisol biosynthetic process, positive regulation of protein phosphorylation, negative regulation of gene expression, positive regulation of pathway-restricted SMAD protein phosphorylation, Wnt signaling pathway, positive regulation of bone mineralization, cardiac muscle tissue morphogenesis, negative regulation of cell population proliferation, telencephalon regionalization, cardiac jelly development, negative regulation of Wnt signaling pathway involved in heart development, osteoblast differentiation, positive regulation of astrocyte differentiation, positive regulation of epithelial cell differentiation, Notch signaling pathway, ameloblast differentiation, positive regulation of peroxisome proliferator activated receptor signaling pathway, positive regulation of apoptotic process, cellular response to organic cyclic compound, response to hypoxia, skeletal system development, atrioventricular canal morphogenesis, positive regulation of bone mineralization involved in bone maturation, cardiac atrium formation, negative regulation of transforming growth factor beta receptor signaling pathway, cardiac epithelial to mesenchymal transition, SMAD protein signal transduction, positive regulation of osteoblast proliferation, positive regulation of neuron differentiation, negative regulation of cardiac muscle cell differentiation, inner ear development, aortic valve development, protein destabilization, mesenchyme development, odontogenesis of dentin-containing tooth, animal organ morphogenesis, mesenchymal cell proliferation involved in ureteric bud development, negative regulation of DNA-templated transcription, negative regulation of calcium-independent cell-cell adhesion, negative regulation of MAP kinase activity, positive regulation of DNA-templated transcription, positive regulation of cell population proliferation, epithelial to mesenchymal transition, regulation of DNA-templated transcription, chondrocyte differentiation, positive regulation of endothelial cell proliferation, inflammatory response, regulation of odontogenesis of dentin-containing tooth, positive regulation of osteoblast differentiation, positive regulation of MAPK cascade, corticotropin hormone secreting cell differentiation, cellular response to BMP stimulus, positive regulation of miRNA transcription, positive regulation of extracellular matrix constituent secretion, cell-cell signaling, negative regulation of insulin-like growth factor receptor signaling pathway, in utero embryonic development, positive regulation of odontogenesis, negative regulation of smooth muscle cell proliferation, positive regulation of gene expression, positive regulation of protein binding, positive regulation of p38MAPK cascade, cardiocyte differentiation, cardiac muscle cell differentiation, embryonic heart tube anterior/posterior pattern specification, heart development, negative regulation of fat cell differentiation, BMP signaling pathway involved in heart induction, positive regulation of DNA-binding transcription factor activity, negative regulation of cell cycle, positive regulation of Wnt signaling pathway by BMP signaling pathway, positive regulation of fat cell differentiation, thyroid-stimulating hormone-secreting cell differentiation, protein phosphorylation, transcription by RNA polymerase II, negative regulation of aldosterone biosynthetic process, positive regulation of SMAD protein signal transduction, endocardial cushion formation, bone mineralization, BMP signaling pathway involved in heart development, negative regulation of canonical Wnt signaling pathway, branching involved in ureteric bud morphogenesis, positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus, positive regulation of cell migration, positive regulation of ossification, positive regulation of ERK1 and ERK2 cascade, negative regulation of transcription by RNA polymerase II, positive regulation of phosphatase activity, telencephalon development, positive regulation of cartilage development, pathway-restricted SMAD protein phosphorylation, gene expression	protein binding, SMAD binding, phosphatase activator activity, signaling receptor binding, BMP receptor binding, co-receptor binding, growth factor activity, cytokine activity, protein serine/threonine kinase activator activity	extracellular region, extracellular space, intracellular membrane-bounded organelle, BMP receptor complex, cell surface
ENSG00000124212	PTGIS	-4.692386754538463	1.0962040748230092e-35	Endogenous sterols, Eicosanoids, Arachidonic acid metabolism, Metabolism, Sterols are 12-hydroxylated by CYP8B1, Fatty acid metabolism, Nicotinamide salvaging, Cytochrome P450 - arranged by substrate type, Metabolism of steroids, Metabolism of water-soluble vitamins and cofactors, Synthesis of bile acids and bile salts, Synthesis of Prostaglandins (PG) and Thromboxanes (TX), Phase I - Functionalization of compounds, Metabolism of vitamins and cofactors, Synthesis of bile acids and bile salts via 27-hydroxycholesterol, Bile acid and bile salt metabolism, Biological oxidations, Synthesis of bile acids and bile salts via 24-hydroxycholesterol, Metabolism of lipids, Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol, Nicotinate metabolism	cyclooxygenase pathway, negative regulation of inflammatory response, prostaglandin biosynthetic process, positive regulation of execution phase of apoptosis, NAD biosynthesis via nicotinamide riboside salvage pathway, cellular response to interleukin-1, positive regulation of peroxisome proliferator activated receptor signaling pathway, negative regulation of NF-kappaB transcription factor activity, cellular response to interleukin-6, apoptotic signaling pathway, icosanoid metabolic process, negative regulation of nitric oxide biosynthetic process, positive regulation of angiogenesis, cellular response to hypoxia	protein binding, monooxygenase activity, iron ion binding, hydroperoxy icosatetraenoate dehydratase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, prostaglandin-I synthase activity, heme binding	endoplasmic reticulum membrane, extracellular space, endoplasmic reticulum, caveola, nucleus
ENSG00000127334	DYRK2	-3.3751922537563406	8.436173130133513e-34	Transcriptional Regulation by TP53, Generic Transcription Pathway, Regulation of TP53 Activity through Phosphorylation, Gene expression (Transcription), Regulation of TP53 Activity, RNA Polymerase II Transcription	DNA damage response, positive regulation of glycogen biosynthetic process, intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator, regulation of signal transduction by p53 class mediator, smoothened signaling pathway, negative regulation of calcineurin-NFAT signaling cascade, peptidyl-threonine phosphorylation, peptidyl-serine phosphorylation, protein phosphorylation	protein binding, magnesium ion binding, protein serine/threonine kinase activity, protein serine kinase activity, protein tyrosine kinase activity, ATP binding, protein serine/threonine/tyrosine kinase activity, manganese ion binding	ribonucleoprotein complex, ubiquitin ligase complex, cytoskeleton, cytosol, nucleoplasm, cytoplasm, nucleus
ENSG00000278903	LOC124905527	-4.151510307637629	6.434964667861843e-32				
ENSG00000278903	LOC124905468	-4.151510307637629	6.434964667861843e-32				
ENSG00000278903	LOC124905312	-4.151510307637629	6.434964667861843e-32				
ENSG00000280018	LOC105379499	-4.151510307637629	6.434964667861843e-32				
ENSG00000286190	LOC728392	1.744786264883576	7.364670289138311e-32				
ENSG00000241956	LOC102546299	-1.291521154827235	5.221829531384938e-31				
ENSG00000167800	TBX10	-1.8633942149513532	5.221829531384938e-31		anatomical structure morphogenesis, cell fate specification, regulation of transcription by RNA polymerase II, positive regulation of DNA-templated transcription	DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding	nucleus, chromatin
ENSG00000166233	ARIH1	-2.4851609117168403	8.880826616801881e-29	Immune System, Cytokine Signaling in Immune system, Antiviral mechanism by IFN-stimulated genes, Interferon Signaling, ISG15 antiviral mechanism	protein polyubiquitination, ubiquitin-dependent protein catabolic process, protein ubiquitination, positive regulation of proteasomal ubiquitin-dependent protein catabolic process	protein binding, ubiquitin protein ligase binding, ubiquitin conjugating enzyme binding, ubiquitin protein ligase activity, zinc ion binding, ubiquitin-protein transferase activity, ubiquitin-like protein transferase activity	ubiquitin ligase complex, Lewy body, Cajal body, cytosol, nucleoplasm, cytoplasm, nuclear body, nucleus
ENSG00000260534		-2.4851609117168403	8.880826616801881e-29				
ENSG00000066056	TIE1	1.5895985209989614	2.623153628662539e-28		positive regulation of kinase activity, tissue remodeling, negative regulation of cell migration, mesoderm development, transmembrane receptor protein tyrosine kinase signaling pathway, vasculogenesis, regulation of endothelial cell proliferation, multicellular organism development, signal transduction, protein phosphorylation, lymphatic endothelial cell differentiation, in utero embryonic development, negative regulation of angiogenesis, response to retinoic acid, branching involved in lymph vessel morphogenesis, angiogenesis, positive regulation of angiogenesis, plasma membrane fusion, regulation of extracellular matrix assembly, aortic valve morphogenesis	protein binding, transmembrane receptor protein tyrosine kinase activity, ATP binding	plasma membrane, receptor complex
ENSG00000166912	MTMR10	-2.0940059136365914	1.8899449724303423e-27	Metabolism of lipids, Synthesis of PIPs at the early endosome membrane, PI Metabolism, Phospholipid metabolism, Metabolism			cytoplasm, cytosol
ENSG00000289463		0.9416432346929309	3.027491809553357e-27				
ENSG00000167779	IGFBP6	1.0742739602482274	5.820523517930611e-26	Metabolism of proteins, Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	regulation of insulin-like growth factor receptor signaling pathway, negative regulation of canonical Wnt signaling pathway, negative regulation of cell population proliferation, positive regulation of MAPK cascade, signal transduction, positive regulation of stress-activated MAPK cascade, cell migration	protein binding, identical protein binding, fibronectin binding, signaling receptor binding, insulin-like growth factor I binding, insulin-like growth factor II binding	insulin-like growth factor binary complex, extracellular region, extracellular space
ENSG00000187266	EPOR	-3.252416501302913	4.116990599464928e-25	Erythropoietin activates RAS, Erythropoietin activates Phosphoinositide-3-kinase (PI3K), Signal Transduction, Signaling by Erythropoietin, Erythropoietin activates Phospholipase C gamma (PLCG), Erythropoietin activates STAT5	heart development, decidualization, erythropoietin-mediated signaling pathway, positive regulation of cell population proliferation, cytokine-mediated signaling pathway, signal transduction, brain development, hemopoiesis	identical protein binding, erythropoietin receptor activity, protein binding	external side of plasma membrane, plasma membrane, nuclear speck, extracellular region
ENSG00000139428	MMAB	-1.530207019186693	1.3380824084692682e-24	Diseases of metabolism, Defects in cobalamin (B12) metabolism, Cobalamin (Cbl) metabolism, Metabolism of water-soluble vitamins and cofactors, Cobalamin (Cbl, vitamin B12) transport and metabolism, Metabolism of vitamins and cofactors, Metabolism, Defective MMAB causes MMA, cblB type, Defects in vitamin and cofactor metabolism, Disease	cobalamin metabolic process	protein binding, cobalamin binding, ATP binding, corrinoid adenosyltransferase activity, transferase activity, transferring alkyl or aryl (other than methyl) groups	
ENSG00000145715	RASA1	-1.5904368411525986	4.000416443022156e-24	EPH-Ephrin signaling, VEGFA-VEGFR2 Pathway, EPHB-mediated forward signaling, PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases, Signaling by Non-Receptor Tyrosine Kinases, VEGFR2 mediated cell proliferation, Regulation of RAS by GAPs, RAF/MAP kinase cascade, Signaling by PTK6, MAPK1/MAPK3 signaling, Signaling by Receptor Tyrosine Kinases, Developmental Biology, Signaling by PDGF, Signaling by VEGF, MAPK family signaling cascades, Axon guidance, Signal Transduction, Downstream signal transduction, Nervous system development	regulation of RNA metabolic process, ephrin receptor signaling pathway, negative regulation of cell adhesion, blood vessel morphogenesis, negative regulation of cell-matrix adhesion, vasculogenesis, signal transduction, regulation of cell shape, intracellular signal transduction, negative regulation of neuron apoptotic process, mitotic cytokinesis, regulation of GTPase activity, regulation of actin filament polymerization, negative regulation of apoptotic process	protein binding, GTPase activator activity, GTPase activity, signaling receptor binding, potassium channel inhibitor activity, GTPase binding, phosphotyrosine residue binding	plasma membrane, cytoplasm, cytosol, ruffle
ENSG00000118816	CCNI	-2.850390590315383	1.665391479823559e-23		spermatogenesis, regulation of cyclin-dependent protein serine/threonine kinase activity, mitotic cell cycle phase transition	protein binding, cyclin-dependent protein serine/threonine kinase regulator activity	nuclear membrane, cyclin-dependent protein kinase holoenzyme complex, nucleus, cytoplasm
ENSG00000167920	KRT10-AS1	0.951227625931395	2.3592547795906718e-23				
ENSG00000123338	NCKAP1L	-1.306242643330354	2.3592547795906718e-23	Immune System, Leishmania infection, RHO GTPase cycle, Disease, VEGFA-VEGFR2 Pathway, RHO GTPase Effectors, Signaling by Rho GTPases, RAC3 GTPase cycle, Regulation of actin dynamics for phagocytic cup formation, Fcgamma receptor (FCGR) dependent phagocytosis, RAC2 GTPase cycle, Signaling by Receptor Tyrosine Kinases, RAC1 GTPase cycle, FCGR3A-mediated phagocytosis, RHO GTPases Activate WASPs and WAVEs, Signaling by VEGF, Parasitic Infection Pathways, Signaling by Rho GTPases, Miro GTPases and RHOBTB3, Signal Transduction, Leishmania phagocytosis, Parasite infection, Neutrophil degranulation, Infectious disease, Innate Immune System	cell morphogenesis, positive regulation of phosphorylation, B cell homeostasis, positive regulation of leukocyte migration, actin polymerization-dependent cell motility, positive regulation of T cell proliferation, cell migration, positive regulation of B cell proliferation, neutrophil chemotaxis, positive regulation of gamma-delta T cell differentiation, positive regulation of CD4-positive, alpha-beta T cell differentiation, positive regulation of TORC2 signaling, T cell homeostasis, erythrocyte development, myeloid cell homeostasis, B cell receptor signaling pathway, positive regulation of neutrophil chemotaxis, chemotaxis, positive regulation of neutrophil migration, maintenance of cell polarity, negative regulation of cytotoxic T cell degranulation, cell projection assembly, cortical actin cytoskeleton organization, positive regulation of erythrocyte differentiation, response to xenobiotic stimulus, negative regulation of interleukin-6 production, negative regulation of apoptotic process, negative regulation of interleukin-17 production, neuron projection morphogenesis, positive regulation of lymphocyte differentiation, positive regulation of cell adhesion mediated by integrin, positive regulation of B cell differentiation, protein-containing complex assembly, erythrocyte homeostasis, positive regulation of actin filament polymerization, negative regulation of myosin-light-chain-phosphatase activity, positive regulation of phagocytosis, engulfment, positive regulation of CD8-positive, alpha-beta T cell differentiation	protein binding, protein kinase activator activity, GTPase activator activity, protein-containing complex binding, TORC2 complex binding	SCAR complex, extracellular exosome, ficolin-1-rich granule membrane, cytosol, membrane, secretory granule membrane, plasma membrane
ENSG00000080031	PTPRH	-4.034375033037007	6.302980333298254e-23		apoptotic process, protein dephosphorylation	protein tyrosine phosphatase activity, protein binding, cadherin binding, transmembrane receptor protein tyrosine phosphatase activity	microvillus membrane, plasma membrane, cytoplasm, apical plasma membrane
ENSG00000012061	ERCC1	-0.846555371135135	9.349841465861288e-23	Global Genome Nucleotide Excision Repair (GG-NER), Dual incision in TC-NER, Dual Incision in GG-NER, HDR through Single Strand Annealing (SSA), DNA Double-Strand Break Repair, Nucleotide Excision Repair, Homology Directed Repair, Formation of Incision Complex in GG-NER, DNA Repair, Fanconi Anemia Pathway, Transcription-Coupled Nucleotide Excision Repair (TC-NER), HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	UV protection, replicative senescence, t-circle formation, positive regulation of t-circle formation, determination of adult lifespan, pyrimidine dimer repair by nucleotide-excision repair, post-embryonic hemopoiesis, oogenesis, response to immobilization stress, response to cadmium ion, UV-damage excision repair, double-strand break repair via nonhomologous end joining, spermatogenesis, negative regulation of telomere maintenance, interstrand cross-link repair, negative regulation of protection from non-homologous end joining at telomere, mitotic recombination, positive regulation of transcription initiation by RNA polymerase II, telomeric DNA-containing double minutes formation, cell population proliferation, insulin-like growth factor receptor signaling pathway, response to nutrient, response to sucrose, nucleotide-excision repair, response to X-ray, embryonic organ development, response to oxidative stress, syncytium formation, male gonad development, isotype switching, DNA repair, multicellular organism growth	protein binding, DNA binding, 3' overhang single-stranded DNA endodeoxyribonuclease activity, promoter-specific chromatin binding, damaged DNA binding, single-stranded DNA endodeoxyribonuclease activity, single-stranded DNA binding, TFIID-class transcription factor complex binding	ERCC4-ERCC1 complex, nucleotide-excision repair complex, nucleoplasm, chromosome, telomeric region, cytoplasm, nucleotide-excision repair factor 1 complex
ENSG00000130762	ARHGEF16	2.076267631186904	1.1449888988121107e-22	G alpha (12/13) signalling events, RHOG GTPase cycle, Signaling by Rho GTPases, Miro GTPases and RHOBTB3, NRAGE signals death through JNK, Signal Transduction, Cell death signalling via NRAGE, NRIF and NADE, Signaling by Rho GTPases, Signaling by GPCR, GPCR downstream signalling, p75 NTR receptor-mediated signalling, Death Receptor Signaling, CDC42 GTPase cycle, RHO GTPase cycle	cell chemotaxis, activation of GTPase activity, positive regulation of protein localization to plasma membrane	protein binding, receptor tyrosine kinase binding, cadherin binding, small GTPase binding, PDZ domain binding, guanyl-nucleotide exchange factor activity	
