id_sonda	id_gen
107_at	['ENSG00000102128', 'ENSG00000172476']
1161_at	['ENSG00000096384', 'ENSG00000183199']
117_at	['ENSG00000173110', 'ENSG00000225217']
1179_at	['ENSG00000109971', 'ENSG00000202252', 'ENSG00000207118', 'ENSG00000256356']
1184_at	['ENSG00000100911', 'ENSG00000238000']
1259_at	['ENSG00000167377', 'ENSG00000261611']
1267_at	['ENSG00000027075', 'ENSG00000258989']
1272_at	['ENSG00000130741', 'ENSG00000180574']
1294_at	['ENSG00000182179', 'ENSG00000283726']
1318_at	['ENSG00000162521', 'ENSG00000242457', 'ENSG00000249485']
1393_at	['ENSG00000122543', 'ENSG00000135175']
1399_at	['ENSG00000092445', 'ENSG00000154582', 'ENSG00000259838']
1434_at	['ENSG00000171862', 'ENSG00000237984', 'ENSG00000261882']
1436_at	['ENSG00000100197', 'ENSG00000205702', 'ENSG00000232710']
1446_at	['ENSG00000106588', 'ENSG00000256646']
148_at	['ENSG00000118985', 'ENSG00000227295']
1486_at	['ENSG00000005075', 'ENSG00000168255', 'ENSG00000214783', 'ENSG00000228049', 'ENSG00000267645', 'ENSG00000272655', 'ENSG00000285437', 'ENSG00000290872']
1487_at	['ENSG00000173153', 'ENSG00000215572']
1515_at	['ENSG00000168496', 'ENSG00000215873']
1528_at	['ENSG00000244754', 'ENSG00000281026']
1588_at	['ENSG00000159110', 'ENSG00000249624']
1602_at	['ENSG00000163558', 'ENSG00000237682']
1653_at	['ENSG00000145425', 'ENSG00000178429', 'ENSG00000205871', 'ENSG00000214389', 'ENSG00000234797']
1660_at	['ENSG00000177889', 'ENSG00000254065']
1690_at	['ENSG00000253767', 'ENSG00000253953']
1739_at	['ENSG00000086205', 'ENSG00000134612', 'ENSG00000290503']
1763_at	['ENSG00000174384', 'ENSG00000229018', 'ENSG00000230305', 'ENSG00000265479', 'ENSG00000273598', 'ENSG00000273897', 'ENSG00000276840', 'ENSG00000277125', 'ENSG00000278416', 'ENSG00000291154', 'ENSG00000291178']
1773_at	['ENSG00000125954', 'ENSG00000257365']
1821_at	['ENSG00000181467', 'ENSG00000289885']
1837_at	['ENSG00000133818', 'ENSG00000236360']
1839_at	['ENSG00000132341', 'ENSG00000236603']
1842_at	['ENSG00000175197', 'ENSG00000285133']
1903_at	['ENSG00000127314', 'ENSG00000254893']
1946_at	['ENSG00000183242', 'ENSG00000273908', 'ENSG00000276530', 'ENSG00000277119']
197_at	['ENSG00000074071', 'ENSG00000103024']
1983_at	['ENSG00000118971', 'ENSG00000285901']
200916_at	['ENSG00000158710', 'ENSG00000253676']
2010_at	['ENSG00000113558', 'ENSG00000179406', 'ENSG00000231234', 'ENSG00000272772']
203074_at	['ENSG00000264230', 'ENSG00000265190']
204_at	['ENSG00000197576', 'ENSG00000273433']
2063_at	['ENSG00000134899', 'ENSG00000270181']
219541_at	['ENSG00000203896', 'ENSG00000273047', 'ENSG00000273154']
220929_at	['ENSG00000130035', 'ENSG00000255639']
221154_at	['ENSG00000168930', 'ENSG00000182053', 'ENSG00000204449']
221393_at	['ENSG00000179073', 'ENSG00000290584']
222584_at	['ENSG00000125459', 'ENSG00000203761']
223_at	['ENSG00000185651', 'ENSG00000236444', 'ENSG00000279392']
250_at	['ENSG00000072736', 'ENSG00000263276']
286_at	['ENSG00000288825', 'ENSG00000288859']
350_at	['ENSG00000136451', 'ENSG00000236229']
384_at	['ENSG00000205220', 'ENSG00000261884']
388_at	['ENSG00000105647', 'ENSG00000268173']
466_at	['ENSG00000233369', 'ENSG00000263001', 'ENSG00000277053', 'ENSG00000290871']
489_at	['ENSG00000132781', 'ENSG00000288208']
50854_at	['ENSG00000103404', 'ENSG00000260566']
51020_at	['ENSG00000121410', 'ENSG00000268230']
51023_at	['ENSG00000286058', 'ENSG00000290591']
51046_at	['ENSG00000137270', 'ENSG00000261745']
51088_at	['ENSG00000131634', 'ENSG00000280062']
51132_at	['ENSG00000100429', 'ENSG00000188130']
51148_at	['ENSG00000075790', 'ENSG00000288558']
51164_at	['ENSG00000125954', 'ENSG00000257365']
51185_at	['ENSG00000240857', 'ENSG00000250741']
51267_at	['ENSG00000123179', 'ENSG00000260668']
51277_at	['ENSG00000103426', 'ENSG00000262246']
51283_at	['ENSG00000163798', 'ENSG00000232060']
51379_at	['ENSG00000100664', 'ENSG00000272533']
51550_at	['ENSG00000139597', 'ENSG00000270008']
51585_at	['ENSG00000178104', 'ENSG00000233396']
51629_at	['ENSG00000255183', 'ENSG00000279341']
51655_at	['ENSG00000131538', 'ENSG00000131548']
51705_at	['ENSG00000181722', 'ENSG00000259976']
51719_at	['ENSG00000102316', 'ENSG00000221716']
51764_at	['ENSG00000183632', 'ENSG00000205456', 'ENSG00000205457', 'ENSG00000261509', 'ENSG00000275034', 'ENSG00000278848']
